"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66"
"125","Isaiah White","Utah Valley","WAC","18","48.3","101.5","26.3","45.3","52.3","8","24","8.4","13.1","82","111","0.739","66","130","0.508","14","62","0.226","1.5","1.3","57.8","Jr","6-7","0","2.01417","105.342","2.8","2020","68202","all","USC","0.674979000419992","53","97","13","33","0.54639175257732","0.393939393939394","8","8","1","0","0","102.212","2.53049","0","-2.13139","-0.472475","-1.65892","0.0860101","29.4286","1.34501","-1.259","2.1905","6.2381","8.4286","1.2857","0.7143","0.381","14.4762","","6.697"
"126","Chance McSpadden","UCF","Amer","7","3.7","69.1","15.1","35.7","30.46","7.5","21.3","10.6","24","1","6","0.167","1","3","0.333","1","4","0.25","0","1.2","85.7","Jr","6-4","22","-0.578249","63.6522","4.1","2019","43693","all","Stetson","1","1","3","0","0","0.333333333333333","0","0","0","0","0","0","97.3288","0.780426","0","-1.65472","-3.05034","1.39562","-4.35426","7","-4.98943","0.635174","0.4286","1.4286","1.8571","0.4286","0.1429","0","0.8571","","4.8354"
"127","Seth Towns","Harvard","Ivy","29","64.1","102.6","30.4","50","54.2","4.4","20","15.9","15.6","86","106","0.811","94","232","0.405","62","142","0.437","3","1.8","28.3","So","6-7","31","2.50266","113.794","3.6","2018","47197","all","Ohio St.","0.843763183799747","48","97","46","134","0.494845360824742","0.343283582089552","8","10","0.8","0","0","96.8039","3.10096","0","2.40878","0.831059","1.57772","4.54655","27.9333","3.19135","1.3552","1.0667","4.6","5.6667","1.8","0.8333","0.6333","16","","10.5332"
"128","Frederick Scott","Rider","MAAC","30","72.3","103.1","21.7","54","55.64","5.7","14.5","10.3","17.9","77","128","0.602","90","178","0.506","40","100","0.4","1.1","1.3","46","Jr","6-8","13","1.83803","103.648","3.6","2020","48036","all","Boston College","0.704913195298284","80","132","10","46","0.606060606060606","0.217391304347826","13","14","0.928571428571429","0","0","103.167","2.42705","0","-0.266386","0.451114","-0.7175","0.421034","28.9333","0.847535","-0.426501","1.4667","3.7667","5.2333","1.4333","0.7","0.2667","12.5667","","6.38906"
"129","Zach Kent","Tennessee","SEC","2","0.8","84.6","14","75","75","0","22.9","0","42.9","0","0","0","0","0","0","1","2","0.5","0","0","0","So","6-11","33","-0.173549","75.3382","4","2020","51183","all","Delaware St.","0","0","0","0","0","0","0","0","0","0","0","0","99.6375","0.480656","0","-9.52562","-5.37963","-4.14599","-3.97628","5","-3.55698","-0.419304","0","1","1","0","0","0","1.5","","12.1061"
"130","Marquis Godwin","Old Dominion","CUSA","12","26.3","81.8","18","38.6","39.63","0.9","10.1","1.2","11.7","4","4","1","13","47","0.277","23","76","0.303","0.4","0.5","3.3","Jr","6-5","0","-0.488899","80.3537","1.3","2020","50642","all","Hampton","0.1667","3","5","10","42","0.6","0.238095238095238","0","0","0","0","0","100.687","2.61285","0","-6.12838","-3.5466","-2.58178","-3.57039","28.25","-2.06182","-1.50857","0.25","2.5","2.75","0.1667","0.25","0.0833","8.25","","13.265"
"131","Both Gach","Utah","P12","28","65.2","90.4","22.9","45.5","49.7","1","12.4","19.3","24","55","71","0.775","72","137","0.526","30","120","0.25","0.5","1.4","27.6","So","6-6","11","1.13821","96.6639","2.3","2020","66562","all","Minnesota","1.01315256235493","53","85","19","52","0.623529411764706","0.365384615384615","10","10","1","0","0","99.5654","2.79209","0","-1.70697","-1.27888","-0.428088","-1.93826","29.3571","-1.37041","-0.567856","0.25","3.2143","3.4643","2.75","0.7143","0.1429","10.3214","","8.6523"
"132","Makale Foreman","Stony Brook","AE","32","88","102.5","22.8","48.5","52.24","1.5","6.9","12.6","14.8","78","91","0.857","62","165","0.376","102","278","0.367","0.1","1","20.5","Jr","6-1","1","2.37387","104.779","1.5","2020","49015","all","California","0.955886634960691","24","48","38","117","0.5","0.324786324786325","0","0","0","0","0","105.204","2.70346","0","-2.27563","0.671099","-2.94673","-0.299546","34.9697","1.38081","-1.68036","0.5152","2.2424","2.7576","1.9697","0.6667","0.0303","15.6061","","13.9879"
"133","Samari Curtis","Nebraska","B10","8","3.8","107.2","11.7","60","63.93","0","14.5","3.7","18.7","2","2","1","0","1","0","4","9","0.444","2","0","20","Fr","6-4","15","0.250598","97.4376","4","2020","71273","all","Evansville","0.5","0","0","0","1","0","0","0","0","0","0","0","110.022","0.358798","0","-2.34793","-1.6259","-0.72203","-2.84369","6.25","-1.7602","-1.08349","0","0.875","0.875","0.125","0","0.125","1.75","","9.93815"
"134","Akuwovo Ogheneyole","Howard","MEAC","31","50.1","102.2","13.7","48.2","52.08","11.7","16.4","2.2","20.4","31","45","0.689","55","110","0.5","0","4","0","3.9","1.1","39.5","Fr","6-9","12","0.188334","90.1677","5.9","2019","66550","all","Binghamton","0.272717906449619","46","83","9","27","0.55421686746988","0.333333333333333","0","0","0","0","0","112.267","1.20124","0","-3.31494","-1.8413","-1.47364","-4.86281","19.6765","-3.2565","-1.60632","2.2941","2.9706","5.2647","0.2647","0.4118","0.7353","4.6471","","0.367339"
"135","Kaden Archie","UTEP","CUSA","24","32","78.7","17.2","47.8","50.7","5.3","7.6","9.4","33.7","16","25","0.64","24","47","0.511","6","22","0.273","2.4","1.7","36.2","So","6-6","15","-0.524601","75.5629","4.7","2020","65590","all","Georgia Southern","0.461538461538462","16","29","8","18","0.551724137931034","0.444444444444444","1","1","1","0","0","99.4032","1.49887","0","-3.38387","-4.75077","1.3669","-4.82604","15.88","-5.09027","0.264231","0.68","1","1.68","0.72","0.48","0.32","3.56","","3.44111"
"136","Michael Ertel","Louisiana Monroe","SB","27","95.6","101.5","23.6","46.2","50.34","1.2","8.6","17.7","11.6","78","97","0.804","94","217","0.433","56","168","0.333","0.2","1.6","25.2","Jr","6-2","2","2.67985","105.542","1.7","2020","52335","all","UAB","1.5882520186512","32","55","62","162","0.581818181818182","0.382716049382716","0","0","0","0","0","106.139","2.81264","0","0.0847642","1.77635","-1.69159","0.506618","37.8276","1.23864","-0.732018","0.4138","2.931","3.3448","2.7931","1.0345","0.069","16.2069","","9.80586"
"137","Dontarius James","Xavier","BE","16","9.2","80","15.2","42.9","42.72","8.3","17.4","7.2","28.5","4","10","0.4","3","5","0.6","4","16","0.25","0.9","1","47.6","So","6-7","12","-0.227041","76.4808","3","2020","66607","all","Jacksonville","0.555555555555556","2","2","1","3","1","0.333333333333333","0","0","0","0","0","92.8522","0.883763","0","-1.22278","-2.22189","0.999108","-1.70191","7.5","-2.53398","0.832072","0.5625","1.1875","1.75","0.3125","0.125","0.0625","1.375","","7.67443"
"138","Salif Boudie","Arkansas St.","SB","27","35.5","107.9","14","56.6","62.78","11.1","17.4","3.1","26.3","38","51","0.745","33","60","0.55","1","1","1","4.8","1.3","83.6","Jr","6-8","2","0.577614","98.0287","6.1","2019","49472","all","UMass Lowell","0.28575867426204","29","45","4","15","0.644444444444444","0.266666666666667","1","1","1","0","0","107.312","1.21017","0","-1.09038","-1.53957","0.44919","-2.39358","16.2759","-2.60154","0.207954","1.6207","2.6207","4.2414","0.2759","0.4828","0.7931","4.1724","","0.131509"
"139","Dontay Bassett","Florida","SEC","17","9.1","108.2","13.9","46.7","50.72","14.2","16.6","7.7","19.1","7","12","0.583","7","13","0.538","0","2","0","8","1.6","80","Jr","6-9","21","0.372459","101.583","8.4","2020","48926","all","Weber St.","1","5","6","2","7","0.833333333333333","0.285714285714286","2","2","1","0","0","89.7532","0.861971","0","6.54584","1.18689","5.35895","2.2447","6.7059","-1.75239","3.99709","0.7647","0.9412","1.7059","0.2941","0.1765","0.4706","1.2353","","1.0643"
"140","Hugh Baxter","Colgate","Pat","6","0.7","55.3","33.2","40","40","0","23","0","35.9","0","0","0","2","2","1","0","3","0","11.8","5.9","0","So","6-8","22","-0.156846","60.3379","4","2019","50856","all","UC San Diego","0","0","0","2","2","0","1","0","0","0","0","0","86.5749","0.248009","0","-12.8528","-15.8439","2.99109","-8.35528","2.1429","-11.0207","2.66546","0","0.2857","0.2857","0","0.1429","0.1429","0.5714","","18.5571"
"141","Ra Kpedi","Vermont","AE","26","16.8","102.1","14.8","52.9","53.38","8.8","11.4","4.2","18.3","15","29","0.517","18","34","0.529","0","0","0","1.6","0.5","85.3","So","6-9","15","0.161775","92.9217","5","2019","50219","all","Fort Wayne","0.454590083456063","16","24","2","10","0.666666666666667","0.2","9","9","1","0","0","103","0.78346","0","-2.87883","-2.31396","-0.564863","-3.7712","8.963","-3.25363","-0.517571","0.6667","0.8519","1.5185","0.1852","0.1111","0.1111","2.4815","","0"
"142","Trevor Moore","Cincinnati","Amer","6","2.9","58.1","18.2","37.5","37.5","0","27.6","14.9","44.2","0","0","0","0","1","0","2","7","0.286","0","1.6","0","Jr","6-5","5","-0.572896","56.1046","7.8","2020","51043","all","Morgan St.","0.600024000960038","0","1","0","0","0","0","0","0","0","0","0","91.7622","0.697177","0","-6.1211","-7.39267","1.27157","-9.66124","6","-10.2181","0.55687","0","1.5","1.5","0.5","0.1667","0","1","","11.2684"
"143","Drew Peterson","Rice","CUSA","30","81.6","101.8","21.4","48.9","54.1","5.5","16.8","21.2","22","75","90","0.833","71","147","0.483","43","130","0.331","1.1","1.8","32.5","So","6-8","23","2.09879","103.875","2.8","2020","65674","all","USC","1.31393488372093","39","69","32","79","0.565217391304348","0.40506329113924","2","4","0.5","0","0","105.198","2.50739","0","1.68804","1.54876","0.139283","0.655255","32.2188","1.11295","-0.45769","1.625","4.8125","6.4375","3.5312","1.0312","0.375","11.0938","","7.44277"
"144","Trace Ramsey","Maryland","B10","5","0.7","36.2","15.2","0","25.64","0","10.7","0","39.6","1","2","0.5","0","1","0","0","0","0","0","0","200","Fr","6-7","24","-0.370512","34.0705","16","2019","66336","all","UC San Diego","0","0","0","0","1","0","0","0","0","0","0","0","105.323","0.167499","0","-13.6578","-11.3929","-2.26483","-19.0252","2","-17.1598","-1.86543","0","0.2","0.2","0","0","0","0.2","","0"
"145","Maishe Dailey","Iowa","B10","35","30.7","90.9","13.5","40.9","44.62","2.2","11.4","12","20.3","15","20","0.75","21","40","0.525","10","48","0.208","0","1.4","22.7","Jr","6-7","1","-0.00323105","87.3826","2.7","2019","49485","all","Akron","1.4285","16","23","5","17","0.695652173913043","0.294117647058824","1","1","1","0","0","102.415","1.15394","0","-0.932918","-0.474558","-0.45836","-2.20539","12.4286","-2.37981","0.174414","0.2286","1.2571","1.4857","0.8571","0.3143","0","2.4857","","6.28506"
"146","Darian Adams","Troy","SB","23","62.7","93","23.3","44.8","48.06","3.8","12.8","21.9","20.9","40","49","0.816","39","111","0.351","54","157","0.344","0.8","1.5","18.3","Jr","6-3","3","1.12408","95.6022","3.1","2020","46982","all","Jacksonville St.","1.24242424242424","16","48","23","62","0.333333333333333","0.370967741935484","2","2","1","0","0","107.258","2.20002","0","-1.7578","-0.303005","-1.45479","-1.56744","31.28","-0.153655","-1.41379","1.16","3.28","4.44","3.28","0.88","0.2","12.12","","12.1828"
"147","Nick Hopkins","Belmont","OVC","32","31.1","99.7","23.5","46.3","49.22","1.7","12.1","16.4","12.4","23","29","0.793","20","49","0.408","37","114","0.325","0","2.5","17.8","Jr","6-0","14","0.661743","100.674","2","2020","45835","all","Siena","1.95223130106851","3","14","17","35","0.214285714285714","0.485714285714286","0","0","0","0","0","98.7582","1.23358","0","-0.985635","0.646437","-1.63207","0.342026","12.6061","0.47549","-0.133463","0.1818","1.4545","1.6364","1.2424","0.5455","0.0303","5.5758","","15.8579"
"148","Jeremiah Francis","North Carolina","ACC","16","16.1","72.2","21.2","25.8","33.18","0.5","9.6","20.9","23.5","18","26","0.692","11","46","0.239","4","20","0.2","0","1.8","39.4","Fr","6-0","13","-0.355202","77.6401","3.3","2020","70950","all","New Mexico","1.36842105263158","8","23","3","23","0.347826086956522","0.130434782608696","0","0","0","0","0","99.57","1.28092","0","-6.43493","-4.70926","-1.72567","-6.75577","13.5","-5.86542","-0.890347","0.0625","1.1875","1.25","1.625","0.4375","0","3.25","","5.26141"
"149","David Nzekwesi","Denver","Sum","26","35.5","92.5","20.3","43.6","47.01","6.9","15.1","3.8","12.2","31","49","0.633","50","109","0.459","5","23","0.217","2","1","37.1","So","6-9","1","0.333591","91.2235","3.9","2020","66576","all","Weber St.","0.400027001485082","34","62","16","47","0.548387096774194","0.340425531914894","8","9","0.888888888888889","0","0","106.633","1.17432","0","-6.2887","-3.4571","-2.8316","-4.32579","16.5926","-2.38625","-1.93954","0.9259","2.3333","3.2593","0.2963","0.2963","0.3333","5.6667","","2.98433"
"150","Shaun Williams","Kansas St.","B12","5","3.6","78.6","31.9","45","45","7.5","8.1","31.9","32.4","0","0","0","3","7","0.429","4","13","0.308","0","2.6","0","So","6-3","1","0.123638","89.2139","3.5","2020","65581","all","Cal St. Bakersfield","0.75","3","4","0","3","0.75","0","0","0","0","0","0","101.805","0.815218","0","-2.81276","-2.01333","-0.799429","-3.9198","9.2","-1.49513","-2.42467","0.6","0.6","1.2","1.2","0.4","0","3.6","","16.6837"
"151","Adrease Jackson","Dartmouth","Ivy","20","34.9","95.7","23.9","44.2","48.12","7","22.9","6.6","13.2","27","34","0.794","32","69","0.464","22","78","0.282","3.8","1.4","23.1","So","6-8","33","0.782357","98.9031","4","2019","50323","all","Northern Arizona","0.538500592316805","23","42","9","27","0.547619047619048","0.333333333333333","6","6","1","0","0","104.125","1.73178","0","-2.49725","-1.44017","-1.05708","-3.20722","19.5","-1.57155","-1.63567","1.2727","3.7273","5","0.6364","0.4091","0.7273","8.3182","","11.7684"
"152","Jay Jay Chandler","Texas A&M","SEC","29","49.1","85.2","20","43.1","48.85","1.8","9.4","11.9","27.2","43","55","0.782","21","59","0.356","30","94","0.319","0.2","2.3","35.9","Jr","6-4","0","0.177847","87.8625","4.5","2020","51239","all","New Mexico","0.584920113810462","15","32","6","27","0.46875","0.222222222222222","5","7","0.714285714285714","0","0","97.3708","2.11386","0","-2.16582","-2.03814","-0.127672","-2.8536","20.4138","-3.57411","0.720506","0.3103","1.6207","1.931","1.069","0.7586","0.0345","6.0345","","9.64624"
"153","Sam Iorio","American","Pat","27","82.5","111.4","18.1","52.5","55.28","3.9","16.8","10.4","11.4","46","56","0.821","64","121","0.529","62","178","0.348","2.4","1.6","18.7","So","6-6","22","2.17553","104.597","1.6","2019","50878","all","South Alabama","1.54285273470647","45","71","19","50","0.633802816901408","0.38","4","5","0.8","0","0","104.353","3.19539","0","1.30172","1.37438","-0.0726653","1.20692","37.2593","1.77167","-0.564745","1.1481","5.3704","6.5185","2","1.037","0.8889","13.3333","","10.3368"
"154","Caleb Green","Holy Cross","Pat","33","88.7","100.4","18.9","49.2","52.28","1.4","9.1","17.2","15.7","51","64","0.797","98","201","0.488","37","111","0.333","0.2","2","20.5","So","5-10","0","1.14651","96.7719","1.6","2019","50941","all","Fairfield","1.8596074798819","62","112","36","89","0.553571428571429","0.404494382022472","0","0","0","0","0","110.248","2.36486","0","-3.725","-1.32157","-2.40343","-3.75285","35.8788","-2.05901","-1.69385","0.3939","2.5455","2.9394","3.2121","1.1818","0.0606","10.8485","","5.77199"
"155","Kaosi Ezeagu","UTEP","CUSA","27","30.8","77.5","17","55.2","52.94","9.6","18.8","1.3","35.1","13","31","0.419","32","58","0.552","0","0","0","6.9","1.4","53.4","Fr","6-10","25","-0.566855","74.2097","8.3","2019","65619","all","Kansas St.","0.0832930562268407","25","32","7","26","0.78125","0.269230769230769","11","13","0.846153846153846","0","0","95.4661","1.45439","0","-4.94469","-8.18068","3.23599","-5.85183","12.4828","-8.35236","2.50053","1.069","2.3103","3.3793","0.1034","0.3103","0.7931","3.2069","","0"
"156","Marcus Santos-Silva","VCU","A10","31","68","106.5","24.5","56.9","57.11","12.1","25.9","7.9","16.4","75","136","0.551","161","283","0.569","0","0","0","5.3","2.3","48.1","Jr","6-7","14","2.8362","115.376","4.3","2020","52088","all","Texas Tech","0.491540563261875","131","205","30","78","0.639024390243902","0.384615384615385","20","21","0.952380952380952","0","0","86.2547","3.87973","0","4.41186","0.627029","3.78483","4.16024","27.3226","2.26856","1.89168","2.9677","5.9677","8.9355","0.9355","1.0968","1.2581","12.8065","","0"
"157","Jacob Toppin","Rhode Island","A10","30","45.7","106.6","14.5","47.7","50.54","7.8","14.6","5","11.7","29","45","0.644","42","76","0.553","13","53","0.245","2.3","1.1","34.9","Fr","6-8","21","0.964564","100.547","4.6","2020","70613","all","Kentucky","0.882301041115229","32","47","10","29","0.680851063829787","0.344827586206897","17","20","0.85","0","0","94.601","2.07686","0","1.28824","0.260734","1.0275","0.31809","18.4333","-0.686299","1.00439","1.4","2.5","3.9","0.5","0.3667","0.4","5.0667","","5.30657"
"158","Brandon Leftwich","Mount St. Mary's","NEC","29","26","86.8","20.4","41.3","49.76","3.4","20.1","15.7","27.9","32","43","0.744","24","55","0.436","3","14","0.214","2.1","2.9","62.3","Jr","6-3","23","-0.0526057","83.975","3.4","2020","51549","all","George Washington","0.8","19","41","5","14","0.463414634146341","0.357142857142857","4","5","0.8","0","0","100.876","1.01916","0","-3.99642","-4.93565","0.939225","-3.23639","11.1","-3.94972","0.713331","0.3333","1.8333","2.1667","0.8","0.5","0.2","2.9667","","2.65867"
"159","Andrei Savrasov","Texas Tech","B12","21","7.6","98.2","14.5","50","50","6.6","19.7","6","16.9","0","0","0","3","6","0.5","6","18","0.333","1.2","1.2","0","Fr","6-7","12","0.128965","93.6162","6.3","2020","71179","all","Georgia Southern","0.7501312335958","2","5","1","1","0.4","1","1","1","1","0","0","88.5463","0.604598","0","0.319668","-0.034748","0.354416","-0.000827665","4.5714","-1.48096","1.48013","0.2381","0.7619","1","0.1429","0.0952","0.0476","1.1429","","11.0441"
"160","Clifton Moore","Indiana","B10","15","4.2","105.5","19.9","63.6","56.89","13.7","32.9","12.6","19.5","5","12","0.417","7","11","0.636","0","0","0","5.6","2.9","109.1","So","6-10","22","0.298437","109.139","6","2019","50927","all","La Salle","1","4","5","3","6","0.8","0.5","0","1","0","0","0","83.6988","0.595797","0","2.22652","-1.92933","4.15585","3.10394","4","-0.666579","3.77052","0.4667","1.2","1.6667","0.2667","0.2","0.2","1.2667","","0"
"161","Sam Hauser","Marquette","BE","34","82.6","124","19.2","57.6","61.15","3.7","19.5","14.5","11.7","73","79","0.924","85","158","0.538","88","219","0.402","1.7","1.1","21","Jr","6-8","10","4.61191","127.676","2.5","2019","44798","all","Virginia","1.82228938420854","24","37","61","121","0.648648648648649","0.504132231404959","1","1","1","0","0","93.7188","4.09839","0","7.41376","5.29885","2.11492","8.35884","33.4118","6.21507","2.14376","1.0294","6.1765","7.2059","2.4118","0.6471","0.5294","14.9118","","10.9097"
"162","Mike Henn","Cal Baptist","WAC","26","54.2","105.5","15.2","50.7","52.43","4.7","14.4","6.4","14.8","20","30","0.667","36","60","0.6","25","85","0.294","0.7","0.5","20.7","So","6-8","24","0.699283","96.4186","5.4","2019","46366","all","Portland","1.04008160326413","26","38","10","22","0.684210526315789","0.454545454545455","2","2","1","0","0","111.393","1.43567","0","-1.12263","0.232797","-1.35543","-2.89227","22.8","-1.56716","-1.32511","0.9667","3.1333","4.1","0.8667","0.2","0.1333","6.4","","8.2439"
"163","Kevin Cross","Nebraska","B10","32","44.7","86.2","24.6","40.9","43.36","5.1","16.9","13.2","14.1","30","44","0.682","51","126","0.405","32","116","0.276","2.2","0.8","18.2","Fr","6-8","1","0.698546","96.6065","4.7","2020","71281","all","Tulane","1","35","69","16","57","0.507246376811594","0.280701754385965","4","7","0.571428571428571","0","0","99.8899","1.70219","0","-1.70209","-1.19921","-0.502876","-1.86044","18.2188","-1.35283","-0.507609","0.9375","2.9688","3.9062","1.1562","0.25","0.4062","7.125","","10.8892"
"164","Cameron Allen","Cal St. Bakersfield","WAC","28","47.9","98.6","23","46.9","49.06","1.2","9.6","17.2","17.8","24","32","0.75","50","128","0.391","32","81","0.395","1.2","1.9","15.3","Jr","6-0","3","0.936118","99.4072","4","2020","50487","all","Towson","1.21949190987449","27","57","23","71","0.473684210526316","0.323943661971831","0","0","0","0","0","105.797","1.4478","0","-2.26438","-0.562498","-1.70188","0.0292788","19.5161","0.359016","-0.329737","0.2258","1.3871","1.6129","1.6129","0.6129","0.2258","7.871","","8.97402"
"165","Jakolby Long","Southern Utah","BSky","25","45.2","91.7","16.5","43.7","47.27","4.9","9.9","12.1","21","23","31","0.742","51","113","0.451","3","14","0.214","0","1.6","24.4","Jr","6-5","1","0.019519","85.6009","1.6","2020","45184","all","Southern Illinois","1.14286816323382","31","51","20","62","0.607843137254902","0.32258064516129","0","0","0","0","0","101.13","1.96885","0","-2.97349","-2.68896","-0.284535","-1.91188","21.8519","-2.1786","0.266721","0.8148","2.037","2.8519","1.4815","0.6667","0","6","","1.46569"
"166","Anthony Masinton-Bonner","Colorado St.","MWC","24","49.6","111.2","19.1","59.2","63.02","1.2","9.5","9.3","17.2","45","52","0.865","54","87","0.621","35","93","0.376","0.4","1.9","28.9","Jr","6-2","15","1.9803","109.621","2.8","2019","38716","all","Missouri St.","0.971428571428572","39","53","15","34","0.735849056603774","0.441176470588235","0","0","0","0","0","111.117","1.63885","0","-0.875771","1.31529","-2.19106","0.599648","25.92","1.5682","-0.968556","0.28","2.2","2.48","1.36","0.8","0.08","11.2","","8.72751"
"167","Damien Sears","St. John's","BE","28","17.1","76.2","14.3","36.8","37.81","6.6","18.3","8.2","24","9","23","0.391","14","38","0.368","0","0","0","2.1","3.7","60.5","Jr","6-7","15","-0.340578","72.7923","6.2","2020","45925","all","Nicholls St.","0.7858","12","26","2","12","0.461538461538462","0.166666666666667","2","3","0.666666666666667","0","0","89.0136","1.04022","0","-0.267613","-3.89086","3.62325","-1.94657","7.8214","-5.00916","3.06259","0.5357","1.3571","1.8929","0.3929","0.5357","0.1429","1.3214","","0"
"168","Payton Willis","Minnesota","B10","27","65.4","111.9","14.4","50.7","51.58","1.6","11.1","12.2","8.6","12","16","0.75","29","65","0.446","57","161","0.354","1","1.5","7.1","Jr","6-4","0","2.5111","109.227","2.2","2020","49181","all","College of Charleston","3.11785260482846","19","33","10","32","0.575757575757576","0.3125","1","1","1","0","0","94.044","3.50046","0","5.1237","3.60254","1.52117","4.5629","30.2963","2.42048","2.14243","0.4444","3.1852","3.6296","1.963","0.7778","0.2963","8.9259","","11.6863"
"169","Elijah Hardy","Washington","P12","29","24.1","67.8","17.9","33.1","37.44","0.8","10.4","19.6","34.7","11","15","0.733","14","32","0.438","5","33","0.152","0","3.7","23.1","So","6-2","10","-0.59037","69.4079","2.8","2020","66451","all","Portland St.","0.97057318321392","7","13","7","19","0.538461538461538","0.368421052631579","0","0","0","0","0","91.6031","1.3242","0","-3.22374","-4.55806","1.33433","-2.6356","10.7241","-5.02912","2.39352","0.069","1.069","1.1379","1.1379","0.6897","0","1.8621","","6.02265"
"170","Romello White","Arizona St.","P12","30","68.8","107.6","18.7","56.9","60.24","10","23.7","6.9","21.3","82","120","0.683","112","197","0.569","0","0","0","4.6","0.9","60.9","Jr","6-8","23","2.45603","110.234","3.5","2020","48955","all","Mississippi","0.492047619047619","100","160","12","37","0.625","0.324324324324324","17","19","0.894736842105263","0","0","90.2945","3.65514","0","3.98863","0.294886","3.69374","3.3742","28.4333","1.52907","1.84513","2.7","6.1333","8.8333","1.0333","0.4667","1.1667","10.2","","0"
"171","Brady Heiman","Nebraska","B10","29","16.3","107","12.9","59","53.65","10.5","12.6","2.5","14.1","4","16","0.25","23","38","0.605","0","1","0","6.4","0.8","41","Fr","6-11","45","0.411487","102.54","5.4","2019","66104","all","South Dakota","0.57136733819117","19","25","4","13","0.76","0.307692307692308","4","4","1","0","0","97.0484","0.884253","0","0.933268","-0.904534","1.8378","-1.1717","8.5","-2.29748","1.12578","0.7667","0.9667","1.7333","0.1333","0.1","0.5","1.8333","","0.258973"
"172","Donovan Ivory","UMass Lowell","AE","2","0.4","0","11.3","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","Fr","6-6","21","-0.71252","-1.92725","0","2020","70549","all","Boise St.","0.499925003749813",NA,NA,NA,NA,"0","0",NA,NA,"0","0","0","113.89","0.109827","0","-17.6772","-13.3222","-4.35495","-20.8458","5.6667","-12.5848","-8.261","0","1.6667","1.6667","0.3333","0","0","0.6667","","0"
"173","Seikou Sisoho Jawara","Loyola Marymount","WCC","28","36.2","91.1","18.1","52.8","52.36","0.9","6.4","17.5","25.8","7","16","0.438","25","47","0.532","21","60","0.35","0.3","2.6","15","Fr","6-3","21","0.271407","90.2186","1.9","2020","70564","all","Weber St.","1.14704878880928","15","26","10","21","0.576923076923077","0.476190476190476","0","0","0","0","0","104.763","1.25634","0","-2.74434","-1.31754","-1.42679","-0.994512","16.0345","-0.817542","-0.176971","0.1034","0.8276","0.931","1.3448","0.6897","0.0345","4.3793","","8.27765"
"174","Donnie Tillman","UNLV","MWC","25","49.6","98.3","24.3","43","51.1","7.1","13.6","15.4","22.4","88","117","0.752","51","120","0.425","21","72","0.292","1.2","0.8","60.9","Jr","6-7","2","1.8327","106.301","4.4","2020","51835","all","New Mexico St.","0.85","43","89","8","31","0.48314606741573","0.258064516129032","2","2","1","0","0","102.363","2.18399","0","-0.285664","0.372741","-0.658405","-0.60386","26.08","0.291349","-0.895209","1.64","3.04","4.68","2.04","0.36","0.24","10.12","","6.53918"
"175","Nana Akenten","Nebraska","B10","27","23.9","100.4","18.4","46.1","46.05","6.5","14.8","4.1","6.7","7","16","0.438","18","39","0.462","23","75","0.307","0.9","1.6","14","So","6-6","25","0.763037","105.128","5","2019","50171","all","Southeast Missouri St.","0.70008401008121","14","25","4","14","0.56","0.285714285714286","4","5","0.8","0","0","96.4746","1.42431","0","-0.674332","1.15996","-1.83429","-0.576039","12.7857","-0.216147","-0.359892","0.75","1.7857","2.5357","0.25","0.3571","0.1071","4.2857","","13.2466"
"176","Darion Jordan-thomas","Wagner","NEC","16","20.4","125.7","14.4","61.2","62.39","13.4","19","2.8","10.5","13","20","0.65","30","49","0.612","0","0","0","2.8","2","40.8","Fr","6-7","23","1.35256","112.339","5.9","2020","70870","all","UMass Lowell","0.5","26","41","4","8","0.634146341463415","0.5","8","9","0.888888888888889","0","0","110.425","0.847449","0","-1.54597","0.774141","-2.32011","-0.483661","14.4375","0.883768","-1.36743","1.75","2.25","4","0.1875","0.5","0.3125","4.5625","","0"
"177","Jimmy Sotos","Bucknell","Pat","34","80.4","98.4","22","49.5","54.09","1.4","11.9","24.6","23","80","100","0.8","71","162","0.438","56","151","0.371","1.5","2.8","31.9","Jr","6-3","4","1.44399","98.2858","2.8","2020","50624","all","Ohio St.","1.36458296440588","53","99","18","63","0.535353535353535","0.285714285714286","0","0","0","0","0","102.506","2.77031","0","0.150616","-0.316803","0.46742","0.157264","32.1471","-0.384876","0.542139","0.3824","3.1176","3.5","3.8529","1.5882","0.4412","11.4706","","7.93864"
"178","Keonte Kennedy","Xavier","BE","22","18.9","83.6","11.9","42.2","41.22","1.4","11.8","8.3","20.6","1","5","0.2","8","16","0.5","9","35","0.257","0","1.3","9.8","Fr","6-5","11","-0.47849","76.0744","3.3","2019","66522","all","UTEP","1.1818","5","10","3","6","0.5","0.5","3","3","1","0","0","103.672","1.08386","0","-2.46792","-1.93687","-0.531054","-3.67896","12.1818","-3.80355","0.124596","0.1364","1.2727","1.4091","0.5909","0.2727","0","2","","7.77004"
