"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66"
"442","JR Mathis","Navy","Pat","4","0.7","0","4.4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","Fr","6-1","10","-0.717056","-4.39404","0","2018","52243","all","Wake Forest","1","0","0","0","0","0","0","0","0","0","0","0","115.471","0.109122","0","-8.61733","-6.39206","-2.22528","-12.1564","2.8","-7.94281","-4.21363","0","0","0","0.2","0","0","1","","6.87418"
"443","Victor Uyaelunmo","USC","P12","28","13.6","74.2","12.6","47.1","39.18","9.8","17.4","1.7","27","7","26","0.269","8","17","0.471","0","0","0","5.3","1.5","152.9","So","6-11","34","-0.451909","67.2436","7.3","2019","51685","all","Towson","0.18172562993128","8","15","0","2","0.533333333333333","0","3","5","0.6","0","0","97.3544","0.717696","0","-3.24898","-5.21377","1.96479","-4.93802","6.5","-6.36697","1.42895","0.5714","1.0357","1.6071","0.0714","0.1786","0.3214","0.8214","","0"
"444","Mike Peake","Georgia","SEC","23","16.5","98.4","13.1","56.9","60.96","6.4","17.3","0.8","28.3","11","14","0.786","19","25","0.76","1","11","0.091","2.9","0.5","38.9","Fr","6-8","30","0.210331","92.1893","4.8","2020","72058","all","Austin Peay","0.0714897994171095","17","18","2","7","0.944444444444444","0.285714285714286","5","5","1","0","0","99.4151","0.857696","0","-2.92629","-2.22302","-0.703275","-1.93175","8.9583","-2.29552","0.363766","0.5417","1.4167","1.9583","0.0417","0.125","0.25","2.3333","","2.92585"
"445","Jock Perry","Saint Mary's","WCC","15","8.1","122.1","23.6","58.8","62.46","13.3","24.7","11.7","14.2","9","11","0.818","20","30","0.667","0","4","0","2","1.1","32.4","Jr","7-1","5","1.14265","132.864","6.5","2020","48171","all","UC Riverside","1","13","17","7","13","0.764705882352941","0.538461538461538","0","0","0","0","0","93.1298","0.822578","0","4.21882","3.76491","0.453912","5.48965","7.3333","3.5771","1.91256","0.7333","1.4","2.1333","0.4","0.1333","0.1333","3.2667","","2.24196"
"446","Jaylen Fornes","UNC Wilmington","CAA","29","41.8","101.6","20.3","47.3","51.86","6.2","9.9","6.7","17.1","37","41","0.902","40","91","0.44","31","92","0.337","0.7","1.1","22.4","Jr","6-3","1","0.771547","99.5313","3.5","2019","46155","all","Nicholls St.","0.628524899288592","26","46","14","45","0.565217391304348","0.311111111111111","0","1","0","0","0","116.826","0.807262","0","-2.793","0.0171851","-2.81019","-2.95561","18.5667","-0.315159","-2.64045","1","1.5","2.5","0.7333","0.3667","0.1","7.1667","","9.68317"
"447","Johnny Juzang","Kentucky","SEC","28","27.7","96.9","13.7","46.8","49.58","4.8","12.7","4.2","18.4","10","12","0.833","15","34","0.441","14","43","0.326","0.6","0.8","15.6","Fr","6-6","10","0.238121","90.9439","3.2","2020","71901","all","UCLA","0.533320888557028","5","7","10","27","0.714285714285714","0.37037037037037","0","0","0","0","0","95.6839","1.34542","0","0.210886","0.393749","-0.182863","0.390413","12.3571","-0.0618018","0.452215","0.4643","1.4643","1.9286","0.2857","0.1786","0.0714","2.9286","","7.2642"
"448","Noel Coleman","San Diego","WCC","23","16.6","92.8","17.1","48","51.59","3.3","5.8","16.1","24","8","9","0.889","12","29","0.414","8","21","0.381","0","2.2","18","Fr","6-1","3","0.145679","90.0086","3.5","2020","70785","all","Hawaii","1.2","7","11","5","18","0.636363636363636","0.277777777777778","0","0","0","0","0","101.263","0.813928","0","-3.26527","-2.35315","-0.912119","-1.42228","9.375","-2.41833","0.996047","0.2917","0.5417","0.8333","0.75","0.375","0","2.4167","","5.72312"
"449","Andrew Garcia","Stony Brook","AE","32","76.6","101","24.9","50.6","55.37","9.7","13.8","14.7","22.5","94","119","0.79","131","254","0.516","24","76","0.316","1.2","3","36.1","Jr","6-5","23","2.17375","105.789","4","2020","46918","all","Georgia","0.642859548102502","93","163","38","91","0.570552147239264","0.417582417582418","6","8","0.75","0","0","96.4299","3.28603","0","1.53618","0.328518","1.20766","1.34611","30.5758","0.453138","0.892972","2.697","4","6.697","1.9091","1.6061","0.303","13.3939","","4.39313"
"450","Ajani Kennedy","UC Riverside","BW","19","33.3","104.7","19.3","59","59.74","7.2","18.8","8.3","21","13","20","0.65","28","57","0.491","23","49","0.469","0.6","1.2","18.9","So","6-8","10","1.05242","101.829","4.3","2019","51522","all","Tennessee Martin","0.709672840820382","20","33","8","24","0.606060606060606","0.333333333333333","4","4","1","0","0","113.355","1.1793","0","-2.89543","-0.570778","-2.32465","-2.85762","21.1818","-0.441446","-2.41617","1.2273","3.4545","4.6818","1","0.5455","0.1818","7.8182","","7.63215"
"451","Shamiel Stevenson","Pittsburgh","ACC","4","2.4","93.2","21.6","62.5","60.12","0","23.7","8.7","25.1","0","1","0","6","11","0.545","1","1","1","3.7","5.5","8.3","So","6-6","0","0.00512057","87.6428","3.8","2019","50258","all","Nebraska","0.333333333333333","6","7","0","4","0.857142857142857","0","1","1","1","0","0","92.5671","0.896087","0","2.34496","-2.04712","4.39208","1.44965","8","-2.99604","4.44569","0","1.75","1.75","0.25","0.75","0.25","3.75","","2.81456"
