,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,hometown,new school, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), dporpag, stops, bpm, obpm, dbpm
26,Jahcobi Neath,Wake Forest,ACC,19,35,78.1,19.5,39.7,45.73,1.6,11.7,21.3,34.1,15,17,0.882,16,37,0.432,0.8,1.2,27,So,3-Jun,0,-0.25207,2021,71931,"Toronto, ON",Wisconsin,0.942857143,12,23,4,14,0.52173913,0.285714286,1,1,1,1.25067,0,-5.18707,-4.14126,-1.04582
27,Terren Frank,TCU,B12,14,11.5,98,12.9,50,49.14,3,8.6,8.2,15.3,0,1,0,6,14,0.429,2.6,0.5,3.7,Fr,8-Jun,15,0.196041,2021,72526,"Los Angeles, CA",Vanderbilt,1.249912496,2,5,4,9,0.4,0.444444444,0,0,0,0.66056,0,-0.884231,-0.761101,-0.123131
28,Kylen Milton,Western Kentucky,CUSA,9,4.4,78.7,28.9,43.5,45.58,2.3,17.3,4.2,23.2,4,7,0.571,7,15,0.467,0,0,30.4,Fr,4-Jun,1,-0.0138771,2021,73116,"Conway, AR",Arkansas Pine Bluff,0.166641668,7,12,0,3,0.583333333,0,2,2,1,0.559047,0,-14.4619,-9.43338,-5.02853
29,Rich Kelly,Boston College,ACC,16,50.4,104.7,22.4,54.5,57.07,1.1,6.8,19.5,19.1,22,27,0.815,29,57,0.509,0.3,2.1,18.8,Sr,1-Jun,22,2.38374,2021,50507,"Shelton, CT",Massachusetts,1.193548387,25,41,4,17,0.609756098,0.235294118,0,0,0,1.82891,0,0.801618,1.70627,-0.904649
30,Jared Kimbrough,La Salle,A10,21,41.9,108.5,16,64.6,64.74,7.7,15.6,5.6,23.2,15,24,0.625,56,86,0.651,4.2,0.7,27,Jr,8-Jun,24,1.32376,2021,65629,"Neptune, NJ",Hartford,0.423083432,41,55,15,31,0.745454545,0.483870968,10,11,0.909090909,1.37201,0,-1.22658,-0.67115,-0.555427
31,Jamir Moultrie,North Carolina Central,MEAC,11,43.8,102.9,22.5,52.3,55.14,1.5,4.7,9.7,14.5,15,19,0.789,16,43,0.372,0.5,1.3,21.6,Jr,11-May,0,1.40316,2021,51861,"Washington, DC",Kennesaw St.,0.692333728,8,24,8,19,0.333333333,0.421052632,0,0,0,0.669843,0,-2.54308,0.675237,-3.21831
32,Tyler Kolek,George Mason,A10,21,75.5,108.2,17.5,53.1,55.52,1.1,12.7,14,16.2,27,34,0.794,25,49,0.51,0.5,2.5,17.8,Fr,3-Jun,20,2.01375,2021,73416,"Cumberland, RI",Marquette,1.562530079,14,20,11,29,0.7,0.379310345,0,0,0,2.99198,0,3.09624,1.71923,1.37701
33,Kevin Samuel,TCU,B12,26,63,109.5,18.8,62.5,58.36,14.4,21.6,6.5,16.2,30,78,0.385,100,160,0.625,7,2.4,48.8,Jr,11-Jun,21,2.41321,2021,66527,"Codrington Village, Antigua",Florida Gulf Coast,0.558843772,88,127,12,33,0.692913386,0.363636364,30,36,0.833333333,2.92477,0,5.01033,2.76206,2.24827
34,Akeem Odusipe,Vanderbilt,SEC,11,4.7,77.5,16.8,42.9,37.74,19.4,12.8,7.8,36.3,0,2,0,3,7,0.429,2.4,0,28.6,Fr,9-Jun,34,-0.121507,2021,72599,"Lagos, Nigeria",Kent St.,0.4,2,5,1,2,0.4,0.5,0,0,0,0.274217,0,-11.3265,-8.71421,-2.61233
35,Ferron Flavors Jr.,Oklahoma St.,B12,24,22.8,93.2,14.9,41.2,42.41,1.2,6,3.8,7.9,5,7,0.714,9,18,0.5,0,0.8,7.7,Sr,3-Jun,31,0.196233,2021,52096,"Federal Way, WA",Robert Morris,1,7,9,3,10,0.777777778,0.3,0,0,0,1.11871,0,-1.45983,-1.11685,-0.34298
