"","player_name","team","conf","Min_per","ORtg","usg","eFG","ORB_per","DRB_per","AST_per","TO_per","blk_per","stl_per","ftr","yr","ht","new.school","dbpm","X","School","Conference","GP","Min.","ORTG","USG","EFG","OR.","DR.","AST.","TOV.","BLK.","STL.","FTR","Year","Height","DBPM"
"535","Bayron Matos","New Mexico","MWC",41.5,93.2,17.4,51.9,10.7,12.3,2.7,16.9,2.6,0.7,54.4,"Fr","9-Jun","South Florida",-1.51804,3369,"South Florida","Amer",28,23.9,81.5,12.3,41.5,10.3,18.5,4.2,28.3,2.2,0.6,31.7,"So","9-Jun",0.444745
"536","Ben Coupet Jr.","Little Rock","SB",80.6,111.3,16.3,55.4,4,9.6,12.5,17.2,1,2,34.5,"Sr","7-Jun","Southern Illinois",-0.453334,46,"Southern Illinois","MVC",30,73.1,109.7,19.5,54.9,4.7,16.6,5.8,13.7,1,0.9,36,"Sr","7-Jun",-0.363203
"537","Bennett Kwiecinski","Siena","MAAC",7.2,93.4,4.2,33.3,2.6,4.6,0,0,2.1,0,66.7,"Fr","8-Jun","St. Thomas",-1.34961,3573,"St. Thomas","Sum",9,2.2,103.5,30.4,37.5,38.3,11.5,0,8.2,5,2.5,62.5,"So","9-Jun",-8.40776
"538","Bernie Andre","FIU","CUSA",8,85.1,18.6,45.7,3.1,10.3,2.7,21,2.8,0.8,8.7,"Sr","6-Jun","Tennessee Martin",-3.1344,1325,"Tennessee Martin","OVC",24,53.4,101.8,21,45.8,5.9,22.4,5.9,15.4,1.7,0.9,28.9,"Sr","6-Jun",-2.03344
"539","Bitumba Baruti","East Carolina","Amer",54.9,98.6,14.9,46,5.5,13.4,8.5,9.8,3.6,2.5,20.8,"Sr","7-Jun","Florida Atlantic",1.88778,108,"Florida Atlantic","CUSA",29,31.2,105.1,14.7,50,8,16,6.4,15.4,1.4,1.8,29.8,"Sr","7-Jun",0.551255
"540","Boogie Ellis","Memphis","Amer",58.4,103.6,20.6,50.8,1.4,8.5,12.8,15.6,1.1,2.5,28.3,"So","3-Jun","USC",2.41062,1728,"USC","P12",33,71.7,107.1,21.8,49.9,2,9.8,15.7,16,0.5,1.6,25.9,"Jr","3-Jun",0.831496
"541","Both Gach","Minnesota","B10",56.1,95.2,17.6,46.4,2.1,15.5,17.1,22.3,0.3,1.5,31.1,"Jr","6-Jun","Utah",0.779851,1227,"Utah","P12",30,56.7,95.8,22.3,48.3,1.6,10.6,18.8,24.1,0.7,1.8,36.7,"Sr","6-Jun",-0.101644
"542","Brady Manek","Oklahoma","B12",57.3,109.7,20.8,52.5,5.6,16.9,6.7,9.7,3.3,1.2,12.6,"Sr","9-Jun","North Carolina",0.367446,474,"North Carolina","ACC",39,75.4,119.8,21.1,60.4,5.5,16.1,11.8,13.5,2.3,1.1,17.1,"Sr","9-Jun",1.90552
"543","Braelen Bridges","Illinois Chicago","Horz",38.7,107.1,25.7,65.2,10.3,17.7,13.5,22.8,0.8,0.8,40.9,"Jr","10-Jun","Georgia",-0.124796,1575,"Georgia","SEC",32,72,111.3,21.8,63.4,7.5,15.3,15.4,22.5,1.5,0.7,48.8,"Sr","11-Jun",-1.23164
"544","Brandon Battle","Alabama St.","SWAC",67.6,88.1,26.1,47.6,11.1,20.2,6.6,22.5,1,1.7,59.8,"Sr","8-Jun","Illinois Chicago",-2.67111,2229,"Illinois Chicago","Horz",16,12.5,69.8,14.2,42.9,3.1,14.9,4.8,30.7,1.3,1.2,10.7,"Sr","8-Jun",-1.52499
"545","Brandon Horvath","UMBC","AE",80.8,105.3,21.8,52,8.6,20.1,12.5,17.3,1.3,1.1,30.3,"Sr","10-Jun","Utah St.",0.376646,311,"Utah St.","MWC",33,77,103.3,24.4,56.1,6.2,19.3,17.3,19.1,2,1,34.4,"Sr","10-Jun",1.15051
"546","Brandon Johnson","Minnesota","B10",61.4,114.7,16.5,50,8.4,17.9,5.4,9.5,2.6,1.8,55.1,"Sr","8-Jun","DePaul",1.61952,4467,"East Carolina","Amer",30,43.4,114.3,13.9,53.2,8.9,24.2,8.9,9.6,3.6,1.3,36.4,"Fr","8-Jun",0.50038
"547","Brandon Johnson","Minnesota","B10",61.4,114.7,16.5,50,8.4,17.9,5.4,9.5,2.6,1.8,55.1,"Sr","8-Jun","DePaul",1.61952,30,"DePaul","BE",31,83.5,100.4,17.4,45.4,6.1,15.8,4.5,15.1,0.7,1.1,51.9,"Sr","8-Jun",-0.648226
"548","Brandon Martin","USC Upstate","BSth",1.6,105.2,18.7,66.7,16.8,26.1,16.4,22.2,0,4.2,33.3,"Jr","5-Jun","South Carolina",1.20974,898,"South Carolina","SEC",30,28.7,86.8,13,43.2,7.4,13,7.3,25.9,0.9,1.8,16.7,"Sr","5-Jun",1.41151
"549","Brandon McKissic","UMKC","Sum",74.1,103.8,28.9,57.6,2.4,12.4,23.7,18.9,0.5,2.8,26.2,"Sr","3-Jun","Florida",0.641269,170,"Florida","SEC",34,59.4,92.6,16.4,43.7,2.5,9.9,14.8,20.1,0.4,2.8,27.2,"Sr","3-Jun",1.34504
"550","Brandon Stone","La Salle","A10",2.9,31.8,18.1,33.3,4.1,25.9,6,68.5,16.3,0,0,"So","11-Jun","Robert Morris",1.78906,1546,"Robert Morris","Horz",23,30.2,103.8,21.2,56.5,9.4,16.6,6.2,22.2,4.5,1.9,18.1,"Jr","11-Jun",-1.31071
"551","Brandton Chatfield","Washington St.","P12",2.1,95.1,16,66.7,4.9,14.8,0,31.5,0,0,0,"Fr","10-Jun","Seattle",1.25716,1695,"Seattle","WAC",29,32.9,110.8,13.8,60.7,10.9,13,3.3,25.4,8,1.3,57.4,"Fr","10-Jun",2.37779
"552","Braun Hartfield","San Diego","WCC",85.4,91.9,23.9,48.2,5,13.4,14.4,21.1,1.7,1.7,33.8,"Sr","6-Jun","Pepperdine",0.114395,114,"Pepperdine","WCC",3,4.9,64.9,19.8,42.3,3.6,9.4,11.8,42,1.7,0.9,23.1,"Sr","5-Jun",-2.47827
"553","Braxton Beverly","North Carolina St.","ACC",57.9,114.4,14.8,56.2,0.8,4.8,17.5,17.7,0.2,2.4,30.6,"Sr","Jun-00","Eastern Kentucky",0.732868,336,"Eastern Kentucky","ASun",14,30.5,100.4,22.7,42.7,2.6,4.7,26,13.2,0.3,3.3,18.5,"Sr","10-May",-1.27678
"554","Brendan Adams","Connecticut","BE",34.7,98.4,14.8,38.1,2.8,9.3,12.7,17.8,0.3,1.7,43.3,"Jr","4-Jun","George Washington",0.425605,923,"George Washington","A10",29,72,100.7,15.9,44.3,2.3,11.1,13,11.1,0.2,1.4,24.4,"Sr","4-Jun",-0.668393
"555","Brendan Medley-Bacon","VCU","A10",5.1,52.7,16.2,22.2,4.6,14.6,3.2,33.2,4.2,0,66.7,"Jr","1-Jul","McNeese St.",-0.145511,945,"McNeese St.","Slnd",28,53.8,100.4,21,51,11.3,18.5,6.7,24.3,5.5,0.9,75.8,"Jr","1-Jul",-1.15533
"556","Brendan Wenzel","Utah","P12",1.1,44.2,15,0,11.7,21.7,14,0,0,0,0,"Fr","7-Jun","Wyoming",-2.61738,2403,"Wyoming","MWC",33,56.8,111.2,12,55.5,4,10.5,3.9,16.6,0.3,1,32.3,"So","7-Jun",1.19589
"557","Brenton Mills","Binghamton","AE",70.1,98.4,24.4,49,2.2,8.9,13.7,16.9,0.2,1.1,16.9,"So","3-Jun","Bowling Green",-3.39038,2067,"Bowling Green","MAC",29,52.3,90.2,12.6,42.1,3.5,5.5,5.2,15.5,0.9,1,13.7,"So","3-Jun",-3.05962
"558","Brevin Galloway","College of Charleston","CAA",13.7,109.1,34.5,54.1,1.3,14.6,29.8,13.4,2.6,3.9,20.4,"Sr","2-Jun","Boston College",0.782029,65,"Boston College","ACC",25,46.3,86.9,21.5,40.2,0.4,7.2,11.9,14.1,0.8,2.8,11.1,"Sr","2-Jun",0.014773
"559","Brian Taylor","Illinois Chicago","Horz",22.1,85.2,13.7,48.8,1.2,9,2.8,19.2,3.2,1.8,23.8,"So","6-Jun","Central Michigan",-0.0879673,2125,"Central Michigan","MAC",29,77.5,105.9,13.7,54.1,5.3,15.1,6.4,18.6,2.7,2.1,29.7,"Jr","6-Jun",-0.15803
"560","Brion Whitley","Murray St.","OVC",19.7,96.8,17.4,54.9,1.3,12.4,3.9,19.7,1.9,0.9,27.5,"Jr","4-Jun","Southern",-1.21936,520,"Southern","SWAC",29,55.4,101.4,24,51.1,4.2,8,5.9,14.1,0.4,2.1,21.5,"Jr","4-Jun",-1.18266
"561","Brison Gresham","Houston","Amer",43,107.3,10.4,56.3,8.5,11,3.3,20.9,10.9,1.8,38,"Sr","8-Jun","Texas Southern",4.99355,100,"Texas Southern","SWAC",31,47.5,115.6,18.1,64.4,15,22.9,4.2,22.1,12.3,1.2,36.3,"Sr","9-Jun",3.32343
"562","Broc Finstuen","Pacific","WCC",70.2,116.3,19,52.5,9.7,14.8,6.9,8.9,1.8,1.2,38.6,"Sr","4-Jun","Cleveland St.",0.33758,2489,"Cleveland St.","Horz",28,38.8,113.1,21.2,57.1,10,21.3,13.1,17.9,0.5,2.3,27.9,"Sr","4-Jun",-0.926151
"563","Bryan Knapp","Cornell","Ivy",66.9,101.6,15,49.4,2,8.8,9.9,12.6,0.7,1.5,14.1,"Jr","1-Jun","George Washington",-2.02843,196,"George Washington","A10",11,4.3,86.9,11.3,45.8,0,12.9,0,9.8,2,1.1,0,"Sr","1-Jun",-1.81719
"564","Bryce Monroe","Sam Houston St.","Slnd",54.3,92.2,27.5,41.1,0.6,5.7,24.3,21.6,0.2,0.9,35.5,"Fr","11-May","San Diego",-3.37999,3340,"San Diego","WCC",16,35.8,83.8,18,38.9,1.4,7.2,15.5,24.5,0,0.6,32.6,"So","11-May",-1.4894
"565","Bryce Thompson","Kansas","B12",27.4,81.4,17.9,37.8,1.7,8.9,12,19.2,1,0.9,13.8,"Fr","5-Jun","Oklahoma St.",0.0687789,2807,"Oklahoma St.","B12",29,61.5,97.8,21.3,46.4,2,7.7,9.3,12.9,0.6,1.3,20.8,"So","5-Jun",1.0102
"566","Bryson Williams","UTEP","CUSA",74.8,101.1,24.3,48.5,5.7,21.4,6.3,14.5,1.6,1,27,"Sr","8-Jun","Texas Tech",-0.38886,129,"Texas Tech","B12",37,63.3,119.6,24,58.8,7,12.6,9.5,12.3,2.1,1.1,25.7,"Sr","8-Jun",2.24366
"567","C.J. Keyser","North Carolina Central","MEAC",78.9,97.4,27,49.2,2.5,11,13.1,15.5,1.6,1.4,29.4,"Sr","3-Jun","Old Dominion",-2.52507,80,"Old Dominion","CUSA",31,82.5,92.6,24.7,45.4,1.5,7.7,10.9,17.3,1.3,1.1,14.7,"Sr","3-Jun",-1.87852
"568","C.J. Roberts","New Mexico St.","WAC",45.1,102,21.7,48.7,2.3,12.6,9.7,13.8,0.8,1.6,18.3,"Jr","1-Jun","Lamar",-0.60137,3286,"Lamar","WAC",25,66.8,91,28.6,43.7,1.7,8.1,20.9,19.3,1,2.3,32,"Sr","1-Jun",-2.55172
"569","C.J. Wilcher","Xavier","BE",17.8,101.6,17.1,51.1,5.3,6.2,5.8,15.6,0.7,1.9,8.9,"Fr","5-Jun","Nebraska",-0.763986,3659,"Nebraska","B10",32,60.4,108,15.1,59.3,2.5,7.7,6.3,14.5,0.4,1.8,17.6,"So","5-Jun",-0.307667
"570","Caleb Byrd","Charlotte","CUSA",2.8,78.4,17.5,41.7,0,0,0,26.3,0,0,33.3,"Fr","1-Jun","Jacksonville St.",-3.79278,3270,"Jacksonville St.","ASun",13,3.7,48.3,24.7,31.8,2.8,22,4.1,43.5,0,1.3,36.4,"Fr","1-Jun",-4.07417
"571","Caleb Christopher","Arizona St.","P12",3.6,59.2,30.4,23.3,3,9.8,19.6,20.2,0,3.1,40,"So","1-Jun","Tennessee Tech",-3.39597,1976,"Tennessee Tech","OVC",6,1.2,60.9,29.4,37.5,0,7.5,0,26,0,0,0,"So","1-Jun",-8.20312
"572","Caleb Grill","UNLV","MWC",84.7,103,15.4,51.9,1,10.4,11.7,17.5,0.5,2.6,14.1,"So","3-Jun","Iowa St.",0.452376,2249,"Iowa St.","B12",35,59.9,109.5,13.5,53.2,2,11.4,12.3,11.5,0.9,2.5,7.9,"Jr","3-Jun",3.36136
"573","Caleb Huffman","Central Michigan","MAC",61.1,98.7,26.8,49.5,3,11.1,15.9,16.8,0.9,2,22.7,"Jr","4-Jun","Nicholls St.",-2.83911,3030,"Nicholls St.","Slnd",20,21.1,93.4,25,48.6,2.6,11.7,11,18.9,0.4,2.2,17.3,"Sr","4-Jun",-1.5123
"574","Caleb Mills","Houston","Amer",6.1,106.6,24.9,46.6,2.9,4.4,2.7,19.4,0,4,41.4,"So","3-Jun","Florida St.",3.70163,1898,"Florida St.","ACC",26,54.6,102.3,25.5,48.7,1.8,8.8,19.9,17.7,2.5,3.2,24.9,"So","4-Jun",1.66941
"575","Caleb Stone-Carrawell","Charlotte","CUSA",13.1,65.5,18.9,31.5,3.1,16,5,25.7,1.9,0,48.1,"Fr","7-Jun","Austin Peay",-2.85577,2497,"Austin Peay","OVC",22,51.3,97.3,24.3,54.6,2,13.8,18.7,24.1,1.5,1.8,21.4,"So","7-Jun",-0.551619
"576","Calvin Wishart","Georgia Southern","SB",62.7,102.7,17.2,54.8,0.8,9.2,17.4,22,0.7,2,24.7,"So","2-Jun","UC Santa Barbara",0.714049,1014,"UC Santa Barbara","BW",24,63,104.7,15.4,52.1,0.6,11.3,18.4,22.8,0.5,2.6,45.5,"Jr","2-Jun",1.4318
"577","Cam Bacote","Indiana St.","MVC",20.1,111.4,12.3,60.8,1.3,7.1,11.9,17.9,0,0.6,5.4,"Jr","3-Jun","Western Carolina",-0.7585,534,"Western Carolina","SC",31,73.7,95.5,17,42.4,1.3,6.6,18.6,16.2,0.1,1,18.8,"Sr","3-Jun",-2.34047
