"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1","Josh Ayeni","St. Bonaventure","A10","24","25.4","94","21.9","44.6","46.97","10.1","11.9","4.1","15.7","20","32","0.625","52","116","0.448","1","4","0.25","1.1","0.8","26.7","So","6-8","33","0.465039","96.6673","8.4","2018","47026","all","South Alabama","0","0","0","0","0","0","0","0","0","0","0","0","103.548","1.30799","0","-6.27903","-3.93197","-2.34706","-5.873"
"2","Justice Bartley","Virginia","ACC","10","1.6","98.9","18.6","50","50.42","11.9","11.3","0","16.2","1","2","0.5","1","3","0.333","1","2","0.5","0","0","40","Jr","6-5","2","0.0802515","97.9684","1.8","2018","41849","all","Maryland Eastern Shore","0","0","0","0","0","0","0","0","0","0","0","0","93.5924","0.273783","0","-5.90809","-2.21852","-3.68957","-2.793"
"3","Devine Eke","Rider","MAAC","31","28.8","97.8","17.9","62.2","53.27","9.2","15.9","8.2","17.5","20","67","0.299","47","73","0.644","1","5","0.2","4.8","3.8","85.9","Jr","6-8","11","0.23389","92.28","6.8","2019","48260","all","Radford","0","0","0","0","0","0","0","0","0","0","0","0","99.2903","1.16652","0","1.0782","-1.61841","2.69661","-0.075"
"4","Troy Simons","New Mexico","MWC","28","49.5","106.5","20.4","49.1","52.2","5.2","10","11.2","11.9","39","50","0.78","39","92","0.424","50","140","0.357","0.8","3.9","21.6","Jr","6-3","31","1.77482","109.385","4","2018","51925","all","Kent St.","0","0","0","0","0","0","0","0","0","0","0","0","102.623","2.17177","0","3.90681","3.35394","0.552876","3.024"
"5","Jerry Johnson Jr.","Chattanooga","SC","28","62","99.7","22.2","48","50.58","2.4","12.4","18.7","16","35","46","0.761","43","102","0.422","51","147","0.347","0","1.5","18.5","Jr","6-1","2","1.33772","101.453","3.2","2019","47827","all","Arkansas St.","0","0","0","0","0","0","0","0","0","0","0","0","110.278","1.61753","0","-0.969222","0.83052","-1.79974","-0.54"
"6","Juwan Gray","San Diego","WCC","33","50.1","111.5","15.1","54.5","57.06","5.4","13.7","6.1","10.7","40","60","0.667","55","95","0.579","16","50","0.32","3.8","1.3","41.4","So","6-8","12","1.17359","104.341","3.7","2018","48179","all","Towson","0","0","0","0","0","0","0","0","0","0","0","0","99.1025","2.1097","0","1.39088","-0.273039","1.66392","1.459"
"7","Josh Mballa","Texas Tech","B12","17","3.7","78.8","18.1","44.4","41.53","4.5","5.9","6.1","17.4","5","14","0.357","4","8","0.5","0","1","0","4.4","2.1","155.6","Fr","6-7","35","-0.0976938","78.0394","4.2","2019","65564","all","Buffalo","0","0","0","0","0","0","0","0","0","0","0","0","90.4774","0.441639","0","0.117297","-3.34987","3.46717","1.073"
"8","Micah Potter","Ohio St.","B10","29","21.2","117.6","20.6","52.2","56.59","13.2","15.5","6.3","11.7","24","30","0.8","38","70","0.543","6","20","0.3","4.4","1","33.3","So","6-9","0","1.26027","123.993","5.3","2018","47329","all","Wisconsin","0","0","0","0","0","0","0","0","0","0","0","0","94.2818","1.21327","0","4.39229","2.90733","1.48496","3.578"
"9","Ty Taylor","UNC Wilmington","CAA","32","35","90.2","21.6","43.3","45.22","3","15.3","13.2","18","25","44","0.568","27","68","0.397","27","88","0.307","1.3","1.4","28.2","Jr","6-3","21","0.149697","89.5193","2.8","2019","39366","all","Eastern Kentucky","0","0","0","0","0","0","0","0","0","0","0","0","113.676","0.716677","0","-3.93789","-2.01431","-1.92359","-2.91"
"10","Tyson Batiste","Central Connecticut","NEC","29","63.5","92.9","11.2","51.6","49.86","2.4","8.2","19.1","28.6","10","28","0.357","40","79","0.506","6","16","0.375","1.4","1.5","29.5","Jr","6-2","13","-0.71558","78.314","4.5","2019","49450","all","The Citadel","0","0","0","0","0","0","0","0","0","0","0","0","115.097","1.17519","0","-4.70108","-3.15493","-1.54615","-5.497"
"11","Matt Hein","Illinois St.","MVC","18","21.2","71.6","12.1","27.6","31.8","0.4","10.8","17.1","24.8","8","16","0.5","6","17","0.353","3","21","0.143","0.4","2.6","42.1","Jr","6-3","5","-1.22534","63.0772","5","2019","40103","all","Siena","0","0","0","0","0","0","0","0","0","0","0","0","104.199","1.27139","0","-4.67084","-4.67715","0.006301","-5.503"
"12","Curtis Cobb","Massachusetts","A10","23","45.2","97.1","19.8","47.6","48.04","2","14.2","19.2","17.8","13","25","0.52","42","91","0.462","32","98","0.327","0","2.3","13.2","Jr","6-4","33","1.02456","98.0845","2.3","2019","43570","all","Wagner","0","0","0","0","0","0","0","0","0","0","0","0","107.409","1.8495","0","-1.45239","-0.248868","-1.20352","-0.183"
"13","Ralueke Orizu","Savannah St.","MEAC","24","22.6","95.2","15.2","54.1","55.09","7.5","17","1.8","23","19","34","0.559","33","60","0.55","0","1","0","5","1.2","55.7","Fr","6-8","2","0.0155362","87.8543","5.3","2018","50951","all","Eastern Washington","0","0","0","0","0","0","0","0","0","0","0","0","112.757","0.651354","0","-6.93573","-5.87576","-1.05997","-5.397"
"14","Ibrahim Famouke Doumbia","South Carolina","SEC","11","2.7","86.7","13.6","33.3","36.7","3.1","13.8","0","0","2","4","0.5","3","7","0.429","0","2","0","0","1.6","44.4","Fr","6-6","14","-0.0590177","82.1106","8","2018","50854","all","UCF","0","0","0","0","0","0","0","0","0","0","0","0","98.0163","0.347123","0","-6.74297","-4.62975","-2.11322","-3.212"
"15","Chad Lott","Howard","MEAC","27","66.9","95.4","25","49.8","52.43","4.9","12.8","14.4","21.4","60","87","0.69","141","292","0.483","13","30","0.433","2.4","1.3","27","Jr","6-4","21","1.16556","97.3849","3.1","2019","40718","all","South Alabama","0","0","0","0","0","0","0","0","0","0","0","0","116.79","1.23978","0","-4.1441","-2.2177","-1.9264","-3.213"
"16","Jalen Johnson","Saint Louis","A10","32","68.2","109.1","16.3","52.6","57.42","3.9","13.2","5.1","17.1","66","84","0.786","37","82","0.451","49","128","0.383","2.7","0.8","40","So","6-7","20","1.55124","103.85","3.4","2018","45313","all","Louisiana Lafayette","0","0","0","0","0","0","0","0","0","0","0","0","101.596","2.63616","0","-0.122745","-0.150727","0.0279819","0.569"
"17","Chris Clarke","Virginia Tech","ACC","33","61","107","19.9","61.4","62.57","5.4","24.3","21","26.4","53","82","0.646","87","143","0.608","14","33","0.424","0.6","2.2","46.6","Jr","6-6","15","1.94026","110.382","2.7","2018","40845","all","Texas Tech","0","0","0","0","0","0","0","0","0","0","0","0","93.9073","3.00854","0","5.46783","1.53319","3.93464","4.604"
"18","Prentiss Nixon","Colorado St.","MWC","26","66.2","100.4","25.5","44.5","50.54","1","10.5","12.9","14.4","100","119","0.84","64","164","0.39","63","192","0.328","0.1","2.6","33.4","Jr","6-2","11","2.40199","109.218","3.4","2018","38713","all","Iowa St.","0","0","0","0","0","0","0","0","0","0","0","0","107.538","2.41922","0","-1.29264","0.952881","-2.24552","0.313"
"19","Marcus Burk","Campbell","BSth","30","78.7","114.6","19.9","60.2","62.47","2.7","11.1","6.9","12.3","49","58","0.845","73","117","0.624","81","206","0.393","0.9","2.3","18","So","6-3","34","2.72736","111.619","2.2","2018","46998","all","IUPUI","0","0","0","0","0","0","0","0","0","0","0","0","111.49","2.02791","0","0.12747","2.7278","-2.60033","1.058"
"20","Don Coleman","California","P12","29","73.2","95.2","26.2","36.5","44.77","3.6","7.4","13.4","13.7","144","193","0.746","99","271","0.365","25","103","0.243","0.1","2.6","51.6","Jr","6-3","14","1.76272","103.697","2.9","2018","44421","all","South Alabama","0","0","0","0","0","0","0","0","0","0","0","0","107.586","2.37368","0","-3.22989","-1.00271","-2.22718","-1.81"
"21","Roman Penn","Siena","MAAC","23","56","109.5","17.9","48.2","55.46","6","11.9","19.5","20.2","65","78","0.833","43","93","0.462","24","71","0.338","0.8","2.3","47.6","Fr","5-11","20","1.81728","104.131","3.7","2018","50994","all","Drake","0","0","0","0","0","0","0","0","0","0","0","0","108.363","2.29883","0","1.83954","1.53505","0.304489","0.483"
"22","Khadim Gueye","South Carolina","SEC","16","6.1","28.9","6.1","0","0","6.9","9.2","0","59.6","0","2","0","0","2","0","0","0","0","1.5","0.7","100","So","7-0","12","-1.12686","21.6853","7.1","2018","46311","all","Akron","0","0","0","0","0","0","0","0","0","0","0","0","98.5497","0.529521","0","-6.17931","-7.17789","0.998579","-8.423"
"23","Chance McSpadden","UCF","Amer","7","3.7","69.1","15.1","35.7","30.46","7.5","21.3","10.6","24","1","6","0.167","1","3","0.333","1","4","0.25","0","1.2","85.7","Jr","6-4","22","-0.556017","63.5454","4.1","2019","43693","all","Stetson","0","0","0","0","0","0","0","0","0","0","0","0","97.4099","0.753629","0","-1.6672","-3.07965","1.41245","-4.498"
"24","Jordan Ash","Northwestern","B10","10","5.9","64.7","13.7","22.7","27.13","0","10.8","24.2","28.8","2","4","0.5","1","5","0.2","1","6","0.167","0","4.7","36.4","Sr","6-3","23","-0.722844","59.0266","3.7","2019","39483","all","Wright St.","0","0","0","0","0","0","0","0","0","0","0","0","93.8834","0.911226","0","-3.07797","-5.90134","2.82336","-1.272"
"25","Jack Wilson","Oregon St.","P12","7","1.5","18.4","10.3","0","0","6.5","0","0","30.3","0","0","0","0","3","0","0","0","0","0","0","0","Fr","7-0","14","-0.681203","14.1107","8.4","2019","65935","all","Idaho","0","0","0","0","0","0","0","0","0","0","0","0","116.823","0.109382","0","-14.1047","-8.99492","-5.10981","-18.491"
"26","Justin Roberts","DePaul","BE","30","36.4","85.5","20.5","42.2","44.49","1.9","7.4","25.1","27.1","15","21","0.714","39","98","0.398","12","37","0.324","0.8","1.9","15.6","Fr","6-0","0","0.0882476","89.1472","2.6","2018","50821","all","Georgia St.","0","0","0","0","0","0","0","0","0","0","0","0","100.477","1.51211","0","-3.79801","-3.81598","0.017968","-2.384"
"27","Trey Woodbury","UNLV","MWC","22","11.1","71.2","16.3","38.9","39.09","0.8","11.5","6.5","28.1","2","5","0.4","5","15","0.333","6","21","0.286","1.5","4.2","13.9","Fr","6-4","22","-0.409271","67.6625","5.5","2019","65811","all","Utah Valley","0","0","0","0","0","0","0","0","0","0","0","0","99.5049","0.630708","0","-3.27937","-4.93704","1.65767","-4.549"
"28","Justin Roberts","Toledo","MAC","31","20.2","127.2","11.4","60.7","63.9","0.4","7.1","16.1","15","13","17","0.765","3","11","0.273","15","31","0.484","0","0.2","40.5","So","5-10","5","0.704764","111.037","3.7","2018","47913","all","Niagara","0","0","0","0","0","0","0","0","0","0","0","0","113.743","0.469611","0","-2.63083","1.26848","-3.89931","-1.608"
"29","Andre Fox","High Point","BSth","26","71.2","107.6","25.8","54.6","58.18","1.7","18.6","9.2","16.6","87","119","0.731","83","170","0.488","52","125","0.416","1.3","2.5","40.3","Jr","6-4","22","2.52759","112.074","3.2","2018","41223","all","South Alabama","0","0","0","0","0","0","0","0","0","0","0","0","103.039","2.71233","0","0.185382","0.838673","-0.653292","2.731"
"30","Payton Willis","Vanderbilt","SEC","31","44.4","100.8","16.6","48.6","50.77","2.1","10.2","14.5","18.3","23","35","0.657","10","29","0.345","38","109","0.349","0.5","1.5","25.4","So","6-4","1","0.882342","101.324","2.9","2018","49181","all","Minnesota","0","0","0","0","0","0","0","0","0","0","0","0","106.45","1.46376","0","0.713124","1.80762","-1.0945","0.662"
"31","Haanif Cheatham","Florida Gulf Coast","ASun","9","20.7","94.6","27","49.5","52.56","2","17.7","15.4","18.6","25","38","0.658","38","79","0.481","7","19","0.368","0.9","2.1","38.8","Sr","6-5","22","1.6846","104.054","1.9","2019","42953","all","Nebraska","0","0","0","0","0","0","0","0","0","0","0","0","100.873","2.63553","0","-3.57637","-2.54637","-1.03","0.312"
"32","Donald Carey","Mount St. Mary's","NEC","30","77.9","91.8","20.2","48","52.24","1.4","9.1","19.2","25.7","49","60","0.817","57","128","0.445","35","100","0.35","0.4","2","26.3","Fr","6-5","10","0.103925","88.4176","2.3","2018","51327","all","Siena","0","0","0","0","0","0","0","0","0","0","0","0","113.982","1.67226","0","-5.93207","-3.59241","-2.33966","-5.644"
"33","Lance Thomas","Louisville","ACC","12","3.4","124.3","19.7","71.4","73.03","7","25.1","0","17.6","6","8","0.75","7","7","1","2","7","0.286","4","2.3","57.1","Fr","6-8","1","0.545503","125.185","8.8","2018","51041","all","Memphis","0","0","0","0","0","0","0","0","0","0","0","0","90.3786","0.564994","0","-0.359438","1.29652","-1.65596","4.898"
"34","Tyrik Dixon","Middle Tennessee","CUSA","31","54.5","103","14.9","44.4","48.24","2.2","14.5","23","21.9","24","30","0.8","30","74","0.405","20","61","0.328","0.4","2.1","22.2","So","6-1","0","0.725317","96.7477","4.8","2018","47006","all","Missouri St.","0","0","0","0","0","0","0","0","0","0","0","0","96.1454","2.60026","0","2.62986","0.290529","2.33933","1.502"
"35","Ian Steere","North Carolina St.","ACC","1","0.3","204.1","17.7","100","100","0","91.9","60.3","0","0","0","0","2","2","1","0","0","0","0","0","0","Fr","6-9","21","1.75483","187.579","0","2019","66261","all","St. John's","0","0","0","0","0","0","0","0","0","0","0","0","83.9583","0.771692","0","23.9882","16.0099","7.97833","25.182"
"36","Antwain Johnson","Middle Tennessee","CUSA","30","53","113.3","21.6","51.2","55.61","2.3","8.3","15","12.4","54","62","0.871","66","140","0.471","39","103","0.379","0.7","1.6","25.5","Jr","6-2","2","2.33589","117.227","3.4","2018","44784","all","Buffalo","0","0","0","0","0","0","0","0","0","0","0","0","99.0165","2.38835","0","2.82513","2.67304","0.152086","3.959"
"37","Makale Foreman","Chattanooga","SC","31","87.4","106.4","14.8","55.1","57.57","1.4","6","9.6","17.5","37","44","0.841","32","73","0.438","73","184","0.397","0","1.3","17.1","So","6-1","0","1.13363","96.7975","2","2018","49015","all","Stony Brook","0","0","0","0","0","0","0","0","0","0","0","0","114.76","1.78341","0","-2.24564","0.219153","-2.46479","-3.138"
"38","Rodney Chatman","Chattanooga","SC","28","73.6","103.2","24.4","52","56.79","1","15","31.9","23.1","88","114","0.772","85","156","0.545","39","120","0.325","1.7","2.1","41.3","So","6-1","1","2.14662","106.476","3.5","2018","49014","all","Dayton","0","0","0","0","0","0","0","0","0","0","0","0","108.984","2.31044","0","-0.176929","0.645691","-0.82262","0.265"
"39","Quatarrius Wilson","McNeese St.","Slnd","25","76.4","101.6","20.7","51.1","52.72","12.5","21.5","8.6","19.9","46","78","0.59","106","197","0.538","4","22","0.182","3.1","1.4","35.6","Jr","6-8","0","1.4063","100.711","3.2","2018","51630","all","Southeast Missouri St.","0","0","0","0","0","0","0","0","0","0","0","0","107.894","2.28757","0","-0.591393","-0.818996","0.227604","-1.467"
"40","Jonathan Laurent","Massachusetts","A10","30","52.8","116.8","19.6","63.6","67.78","6.8","19.8","13.6","23.2","60","70","0.857","60","102","0.588","35","75","0.467","1.5","0.9","39.5","Jr","6-6","1","2.33454","116.321","3.9","2019","42289","all","Oklahoma St.","0","0","0","0","0","0","0","0","0","0","0","0","107.298","1.65125","0","1.95602","2.50305","-0.54703","1.627"
"41","Everett Winchester","Wright St.","Horz","31","48.7","94","21.9","45.5","51.01","6.8","13.4","10.2","21","70","104","0.673","81","172","0.471","0","6","0","1.6","1.2","58.4","Fr","6-6","2","0.585327","95.5908","4.1","2018","48621","all","Florida Atlantic","0","0","0","0","0","0","0","0","0","0","0","0","98.4907","2.22808","0","-2.8972","-4.00723","1.11003","-2.133"
"42","Bubba Parham","VMI","SC","29","85.6","107.9","29.3","53.7","58.05","0.6","10.3","24","15","132","169","0.781","82","179","0.458","105","267","0.393","0.1","1","37.9","So","5-11","3","3.98272","119.941","2.4","2019","51048","all","Georgia Tech","0","0","0","0","0","0","0","0","0","0","0","0","116.303","1.44226","0","0.01467","4.51235","-4.49768","0.796"
"43","Brandon Davis","UC Santa Barbara","BW","26","11","70.9","10.1","18.8","28.92","0","12.1","21.7","44.3","3","5","0.6","0","5","0","1","3","0.333","0","2.7","62.5","Fr","6-1","11","-0.488927","59.7027","4.5","2018","51325","all","Sacramento St.","0","0","0","0","0","0","0","0","0","0","0","0","105.612","0.420059","0","-5.43442","-5.5686","0.134184","-5.301"
"44","Nate Sestina","Bucknell","Pat","31","64.9","112.5","25.4","59.6","62.62","8.4","25.9","9.8","17","80","99","0.808","144","237","0.608","41","108","0.38","3.9","0.7","28.7","Sr","6-9","4","3.10235","118.793","4.1","2019","39685","all","Kentucky","0","0","0","0","0","0","0","0","0","0","0","0","99.3246","2.79115","0","2.29208","1.30617","0.985905","3.219"
"45","Pat Andree","Lehigh","Pat","29","67.6","118.3","19","57.8","59.75","3.2","19.7","10.7","9","49","67","0.731","58","116","0.5","70","166","0.422","0.7","1","23.8","Jr","6-8","31","2.84243","114.791","2.5","2019","46348","all","North Carolina St.","0","0","0","0","0","0","0","0","0","0","0","0","107.938","2.05481","0","2.07965","3.33103","-1.25138","2.745"
"46","L.J. Owens","William & Mary","CAA","30","59.9","107.6","13.5","55.6","58.19","1.5","6.7","7.3","14.7","35","49","0.714","44","81","0.543","27","71","0.38","0.6","1","32.2","Fr","6-3","11","0.672626","94.5238","3.2","2019","65705","all","UMBC","0","0","0","0","0","0","0","0","0","0","0","0","112.581","1.31858","0","-4.10735","-1.2972","-2.81016","-4.084"
"47","Vitaliy Shibel","Arizona St.","P12","17","3.7","62.3","10.6","33.3","33.33","4.3","10.4","0","30.5","0","0","0","0","2","0","2","7","0.286","0","1.1","0","So","6-9","10","-0.342963","53.4906","10.2","2019","48953","all","UNLV","0","0","0","0","0","0","0","0","0","0","0","0","99.6333","0.299837","0","-7.03294","-5.03279","-2.00015","-9.676"
"48","Corey Tillery","Tennessee Tech","OVC","28","64","89.1","15.1","43","44.75","0.9","8.9","6.2","13.7","16","19","0.842","15","51","0.294","53","169","0.314","0.6","1.3","8.6","Jr","6-1","3","-0.557834","80.3728","2.6","2019","50479","all","Alcorn St.","0","0","0","0","0","0","0","0","0","0","0","0","109.996","1.69654","0","-4.96886","-3.05589","-1.91297","-4.641"
"49","Donnie Tillman","Utah","P12","31","67.9","116.9","19.1","53.5","58.62","5.8","16.9","11.5","14.9","81","103","0.786","57","108","0.528","44","122","0.361","1.3","1.3","44.8","So","6-7","3","3.08171","119.149","2.8","2019","51835","all","UNLV","0","0","0","0","0","0","0","0","0","0","0","0","107.735","1.95021","0","4.01152","4.01684","-0.00531946","3.511"
"50","Luwane Pipkins","Massachusetts","A10","25","60.3","98.9","32.1","41.4","47.65","1.8","17.2","35.6","17.8","103","128","0.805","77","189","0.407","48","171","0.281","0.3","2.3","35.6","Jr","5-11","2","2.96275","113.872","3","2019","41854","all","Providence","0","0","0","0","0","0","0","0","0","0","0","0","105.989","2.424","0","0.795771","1.76641","-0.970643","1.425"
"51","Shakur Juiston","UNLV","MWC","8","18.4","85.1","25.3","46.8","48.33","6.6","27.8","14.5","28.9","12","21","0.571","31","66","0.47","4","13","0.308","3.2","3","26.6","Sr","6-7","10","0.458274","91.0298","4","2019","51673","all","Oregon","0","0","0","0","0","0","0","0","0","0","0","0","96.4774","3.18828","0","-0.989075","-4.43074","3.44166","0.848"
"52","Mike Sagay","Boston College","ACC","15","5.2","75.3","27.9","44.8","44.44","5","19.3","0","20.6","4","10","0.4","7","22","0.318","4","7","0.571","1.6","1.6","34.5","Fr","6-7","23","-0.0234381","85.4285","3.6","2017","46501","all","IUPUI","0","0","0","0","0","0","0","0","0","0","0","0","98.8969","0.465658","0","-14.7942","-9.31394","-5.48023","-5.441"
"53","Teshaun Hightower","Georgia","SEC","29","39.4","92.6","22.4","47.8","51.9","2.1","9.4","17.7","25.5","42","59","0.712","40","76","0.526","23","80","0.287","0.2","1.6","37.8","So","6-5","1","0.780208","99.3736","2.3","2019","51230","all","Tulane","0","0","0","0","0","0","0","0","0","0","0","0","103.013","1.53316","0","-2.46227","-0.886867","-1.5754","-1.713"
"54","Abu Kigab","Oregon","P12","10","10.1","106.3","13.6","46","47.49","6.4","13.5","20.9","20.3","3","5","0.6","10","14","0.714","1","11","0.091","0","0.4","20","So","6-7","24","0.576396","97.1528","4.1","2019","51889","all","Boise St.","0","0","0","0","0","0","0","0","0","0","0","0","97.1708","1.68161","0","0.0907881","-0.0580164","0.148804","-0.783"
"55","Miryne Thomas","Maryland Eastern Shore","MEAC","28","62.3","90.9","26.5","44.8","49.6","9.6","23.8","8.6","20.9","81","119","0.681","105","209","0.502","7","49","0.143","1.7","1.4","46.1","Fr","6-8","1","0.589971","93.8289","5.1","2018","51618","all","Ball St.","0","0","0","0","0","0","0","0","0","0","0","0","115.826","1.26183","0","-6.20079","-3.83913","-2.36166","-6.301"
"56","C.J. Keyser","Wichita St.","Amer","18","9.5","106.8","14.8","37.5","49.8","3.7","8.7","13.4","18.2","13","15","0.867","9","18","0.5","0","6","0","1.8","2.7","62.5","So","6-3","3","0.333802","101.185","8.2","2018","46793","all","North Carolina Central","0","0","0","0","0","0","0","0","0","0","0","0","98.9854","0.74086","0","1.73629","0.77401","0.962281","-1.636"
"57","B.J. Maxwell","Abilene Christian","Slnd","21","48.3","129.8","15.2","61.4","64.38","6.5","14.6","11.9","10.2","26","29","0.897","38","67","0.567","32","73","0.438","1.6","2.5","20.7","Jr","6-5","13","2.80938","115.896","4.2","2019","41634","all","Detroit","0","0","0","0","0","0","0","0","0","0","0","0","100.76","2.63933","0","5.17912","3.47164","1.70748","4.166"
"58","Nate Darling","UAB","CUSA","31","69.6","112.2","17.9","60.7","63.44","1.6","9.8","17.3","23","42","49","0.857","51","86","0.593","57","139","0.41","1.3","0.9","21.8","So","6-5","13","2.04501","108.625","2.1","2018","44749","all","Delaware","0","0","0","0","0","0","0","0","0","0","0","0","105.683","2.29656","0","1.32423","1.90452","-0.580289","1.852"
"59","Nazeer Bostick","Penn St.","B10","35","38.3","95.8","17.2","44.4","50.33","5.9","9.7","6.9","21.6","46","63","0.73","49","106","0.462","7","28","0.25","1.1","2.2","47","So","6-4","4","0.462502","95.2735","3.7","2018","49007","all","Saint Peter's","0","0","0","0","0","0","0","0","0","0","0","0","95.9324","1.98333","0","0.734078","-0.689984","1.42406","0.139"
"60","Brandon Averette","Oklahoma St.","B12","36","49.3","99.5","19.8","43.4","47.5","0.9","9.1","26.4","19.6","44","59","0.746","77","175","0.44","10","37","0.27","0.1","1.7","27.8","So","5-11","0","1.07412","103.15","3","2018","46598","all","Utah Valley","0","0","0","0","0","0","0","0","0","0","0","0","99.8211","2.0283","0","-1.2606","-0.762371","-0.498233","0.28"
"61","Deion James","Colorado St.","MWC","30","61.6","100.1","22.3","46.6","50.05","9.1","13.2","13.8","17.6","53","73","0.726","105","216","0.486","12","48","0.25","3","1.4","27.7","Jr","6-8","20","1.54971","105.005","4.8","2018","43109","all","Washington St.","0","0","0","0","0","0","0","0","0","0","0","0","107.688","1.92223","0","-0.425756","-0.364909","-0.0608467","-1.809"
"62","Xeyrius Williams","Dayton","A10","18","26.5","93.9","18.2","43.7","45.55","4","16.8","14.4","16.7","7","8","0.875","16","33","0.485","17","62","0.274","3.5","1.4","8.4","Jr","6-9","20","0.315808","92.463","2.8","2018","42876","all","Akron","0","0","0","0","0","0","0","0","0","0","0","0","104.197","1.59315","0","-0.89412","-1.32738","0.433257","-0.552"
"63","Derrik Smits","Valparaiso","MVC","30","53.1","103.2","29.6","57.5","58.89","11.6","20.7","9.8","19.2","85","140","0.607","138","239","0.577","0","1","0","4.3","1.2","58.3","Jr","7-1","21","2.24586","115.955","5.3","2019","43188","all","Butler","0","0","0","0","0","0","0","0","0","0","0","0","100.245","2.14486","0","0.221761","-0.568299","0.79006","0.733"
"64","Sylvester Ogbonda","Georgia Tech","ACC","10","5.1","80.1","24.4","33.3","39.56","13.4","16.7","12.4","22.1","6","10","0.6","6","18","0.333","0","0","0","5.2","1.8","55.6","Jr","6-10","24","0.0439527","88.3848","8","2019","41742","all","Ohio","0","0","0","0","0","0","0","0","0","0","0","0","92.5272","0.809926","0","-3.3221","-5.65005","2.32795","-4.002"
"65","Shamiel Stevenson","Pittsburgh","ACC","4","2.4","93.2","21.6","62.5","60.12","0","23.7","8.7","25.1","0","1","0","6","11","0.545","1","1","1","3.7","5.5","8.3","So","6-6","0","0.0327816","87.6171","3.8","2019","50258","all","Nevada","0","0","0","0","0","0","0","0","0","0","0","0","91.0688","1.03732","0","2.08268","-3.27664","5.35932","4.895"
"66","Logan Johnson","Cincinnati","Amer","32","15.8","100.2","19.4","50","53.85","7.9","12.6","18.3","27.1","14","20","0.7","20","37","0.541","3","12","0.25","4.1","3","40.8","Fr","6-2","0","0.373782","102.014","4.3","2019","65751","all","Saint Mary's","0","0","0","0","0","0","0","0","0","0","0","0","90.756","0.904102","0","4.59518","0.163235","4.43194","2.629"
"67","Ferron Flavors Jr.","Fairfield","MAAC","33","76.8","101.6","18.9","48","50.06","1.9","11.4","6.6","7.6","43","58","0.741","39","95","0.411","95","283","0.336","0","1.1","15.3","So","6-4","23","1.14507","98.1975","2.5","2018","52096","all","Cal Baptist","0","0","0","0","0","0","0","0","0","0","0","0","110.421","2.02916","0","-2.22189","0.124124","-2.34602","-1.185"
"68","Jordy Tshimanga","Nebraska","B10","31","31.9","92","21.6","45.5","47.5","15.9","20.6","7.1","23.7","22","39","0.564","51","112","0.455","0","0","0","3.1","1.1","34.8","So","6-11","32","0.481742","97.6303","6.7","2018","44214","all","Dayton","0","0","0","0","0","0","0","0","0","0","0","0","93.649","1.69542","0","-1.45535","-2.9628","1.50745","-3.496"
"69","Quinton Adlesh","Columbia","Ivy","26","78","97.9","22.8","52","52.59","0.6","9.2","15.4","16.1","15","22","0.682","73","151","0.483","65","177","0.367","0.1","2.8","6.7","Sr","6-0","10","1.62379","101.442","2.9","2019","42066","all","USC","0","0","0","0","0","0","0","0","0","0","0","0","107.238","2.29388","0","-0.781183","0.864643","-1.64583","-0.563"
"70","J.J. Caldwell","Texas A&M","SEC","17","19.3","96.5","15.2","40.9","47.66","3.7","8.5","24.5","28.6","15","20","0.75","15","36","0.417","2","8","0.25","0.8","2.5","45.5","Fr","6-1","4","0.305625","93.0015","3.3","2018","44311","all","New Mexico","0","0","0","0","0","0","0","0","0","0","0","0","96.2096","1.83227","0","0.729785","-0.75721","1.487","1.007"
"71","Tracy Hector","Florida A&M","MEAC","26","63.3","83.9","20.4","38.6","42.79","5.7","16.1","23.2","25.5","49","87","0.563","58","142","0.408","3","20","0.15","1","2.9","53.7","Jr","6-5","0","-0.582588","80.4847","3.3","2019","67751","all","Florida Gulf Coast","0","0","0","0","0","0","0","0","0","0","0","0","102.53","2.53597","0","-2.52704","-4.37703","1.84999","-1.893"
"72","Terrell Allen","UCF","Amer","33","76.1","107.4","14.8","50.3","53.74","0.8","10","26","22.3","42","58","0.724","51","115","0.443","26","64","0.406","0","2.5","32.4","Jr","6-3","2","1.85506","104.004","3.3","2019","42053","all","Georgetown","0","0","0","0","0","0","0","0","0","0","0","0","94.5489","3.57825","0","4.4686","2.22605","2.24255","2.942"
"73","Jaylen Key","Northern Illinois","MAC","29","28.3","83.2","18.2","40.9","44.43","3.3","12.7","5.3","21.1","15","19","0.789","39","94","0.415","1","5","0.2","1.8","0.8","19.2","Sr","6-8","15","-0.18914","82.0733","5.2","2019","43629","all","New Orleans","0","0","0","0","0","0","0","0","0","0","0","0","106.601","0.946622","0","-6.58021","-5.38354","-1.19667","-5.969"
