"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"375","Patrick Szpir","Chicago St.","WAC","30","47.3","80.8","12.7","41.5","45.85","5.5","10.1","9.2","27.5","22","34","0.647","34","82","0.415","0","0","0","2","0.9","41.5","Jr","6-9","23","-0.90758","72.6219","4.5","2019","45251","all","Wagner","0","0","0","0","0","0","0","0","0","0","0","0","122.036","0.420464","0","-7.11574","-4.76081","-2.35493","-8.847"
"376","Corey Brown","Northern Arizona","BSky","27","37.5","104.1","19.6","60.2","59.74","8","16.9","4.6","19","37","67","0.552","71","117","0.607","0","1","0","2.4","2.3","56.8","Jr","6-8","2","0.93196","103.576","6.3","2018","40175","all","Canisius","0","0","0","0","0","0","0","0","0","0","0","0","108.673","1.20148","0","-1.80986","-1.65797","-0.151895","-1.101"
"377","Kylia Sykes","UNC Greensboro","SC","32","22.7","99.5","10.8","52.6","52.63","6.7","8.8","9.4","28.1","4","8","0.5","14","22","0.636","4","16","0.25","3.6","3.3","21.1","Fr","6-5","0","-0.104439","84.1371","6.6","2018","45913","all","Jackson St.","0","0","0","0","0","0","0","0","0","0","0","0","93.6754","1.12596","0","3.29076","-1.6119","4.90266","-0.134"
"378","Lamont West","West Virginia","B12","36","61.5","107.5","20.7","47.8","52.9","5.6","12.5","6.7","15.2","92","118","0.78","58","128","0.453","64","194","0.33","1.4","1.4","36.6","Jr","6-8","15","2.53075","116.08","3.6","2019","42146","all","Missouri St.","0","0","0","0","0","0","0","0","0","0","0","0","102.235","2.23681","0","2.54191","3.07192","-0.530012","2.701"
"379","Eddie Davis III","Hartford","AE","22","14.8","91.5","14.6","47.4","53.22","3.8","15.2","3.8","25.3","9","9","1","6","15","0.4","8","23","0.348","1.8","1.8","23.7","Sr","6-7","15","-0.112705","82.6707","6.2","2019","40568","all","The Citadel","0","0","0","0","0","0","0","0","0","0","0","0","108.218","0.60514","0","-5.80498","-3.64585","-2.15913","-6.006"
"380","Keith Oddo","Richmond","A10","9","1.9","102.3","7.5","33.3","43.17","0","0","6.6","0","1","1","1","1","2","0.5","0","1","0","4.6","2.4","33.3","Sr","6-1","30","-0.0501671","81.2315","6.4","2019","40947","all","Louisville","0","0","0","0","0","0","0","0","0","0","0","0","114.975","0.129752","0","-4.96966","-3.27951","-1.69015","-6.591"
"381","Isiah Brown","Northwestern","B10","24","19.7","94.7","24.2","44.7","51.82","1.9","7.2","20.5","23.6","25","29","0.862","23","51","0.451","7","24","0.292","0","2","38.7","So","6-2","12","0.571589","103.694","5.5","2018","44211","all","Grand Canyon","0","0","0","0","0","0","0","0","0","0","0","0","101.849","0.971785","0","-3.40015","-1.65351","-1.74664","-3.1"
"382","Chris Vogt","Northern Kentucky","Horz","33","31.4","95.5","21.9","57.5","53.13","12.4","21.5","7.6","21.4","28","74","0.378","61","106","0.575","0","0","0","10.9","1.4","69.8","So","7-0","33","0.426389","96.2239","7.7","2019","51883","all","Cincinnati","0","0","0","0","0","0","0","0","0","0","0","0","93.7574","1.51073","0","0.912977","-3.80899","4.72197","-0.397"
"383","David Caraher","Houston Baptist","Slnd","26","73.9","108.4","23.2","53.5","56.95","6.8","17.7","9.8","17.8","84","114","0.737","92","179","0.514","55","147","0.374","0.5","1.4","35","Fr","6-6","5","2.66818","111.629","3.9","2018","51227","all","St. John's","0","0","0","0","0","0","0","0","0","0","0","0","116.628","1.41597","0","-0.906245","2.22118","-3.12742","-0.932"
"384","Blake Francis","Wagner","NEC","30","78.9","118.9","21.8","55.5","58.46","2","4.2","10.5","11.9","79","100","0.79","71","154","0.461","98","239","0.41","0.1","2.6","25.4","So","6-0","3","3.3724","117.27","3.2","2018","44827","all","Richmond","0","0","0","0","0","0","0","0","0","0","0","0","106.986","2.54166","0","1.81713","3.75823","-1.9411","3.076"
