,Player,School,Conference,GP,Min%,ORTG,USG,EFG,OR%,DR%,AST%,TOV%,BLK%,STL%,FTR,Year,Height,DBPM
4529,Phil Jones,Saint Louis,A10,2,0.3,0,0,0,0,0,0,0,0,0,0,Fr,,-3.45166
4530,Eli Chol,UC Irvine,BW,10,1.6,0,8.6,0,0,15.6,0,32,5.2,0,0,Fr,11-Jun,-0.0952599
4531,Yohan Traore,Auburn,SEC,25,18,87.5,14.6,45,6.9,9,4.4,17.8,0.9,0,46,Fr,10-Jun,-1.19948
4532,Cade Tyson,Belmont,MVC,29,68.2,115.3,20.7,56.8,4.4,13.7,5.5,12.5,1.2,1.8,29,Fr,7-Jun,-0.913023
4533,Tyeree Bryan,Charleston Southern,BSth,27,74.1,116.9,17.6,53.5,8.6,10.6,10.8,12.7,1.3,1.2,13.8,So,6-Jun,-2.7834
4534,Kyler Vanderjagt,Belmont,MVC,13,4.7,76.6,14.6,45.5,0,5.8,2.8,26.9,0,2,45.5,Fr,4-Jun,-2.56582
4535,Chance Westry,Auburn,SEC,11,7.5,72.2,24.2,31.6,4.4,4.3,20.6,21.1,2.1,4.6,18.4,Fr,6-Jun,1.72202
4536,Zocko Littleton Jr.,Appalachian St.,SB,5,0.9,53.6,11.7,0,0,0,33.8,0,0,0,0,Fr,3-Jun,-3.81027
4537,Pat Robinson III,College of Charleston,CAA,34,47.4,114,24.4,50.7,6.1,11.3,9.6,11,0.5,2.3,38.7,Sr,3-Jun,0.913982
4538,Toibu Lawal,VCU,A10,25,9.9,82.2,18.7,51.9,12.6,11.8,4.2,27,5.6,1.7,63,Fr,8-Jun,1.01582
4539,Knoah Carver,Longwood,BSth,1,0.1,0,0,0,0,0,0,0,0,0,0,Fr,3-Jun,-4.38756
4540,Ugonna Onyenso,Kentucky,SEC,16,8,117.1,18.8,52.9,18.6,25.8,3.5,11.6,16,1.6,20.6,Fr,9-Jun,3.26517
4541,Taeyon Neal,Chicago St.,ind,4,1.5,102.1,19.7,66.7,14.6,0,27.8,38.7,0,3.8,0,So,9-Jun,2.1382
4542,Hansel Enmanuel,Northwestern St.,Slnd,20,12.7,92.5,13,55.8,6.7,10.5,2.1,24.7,3.4,3.6,50,Fr,6-Jun,0.352216
4543,Naz Brown,Oklahoma St.,B12,10,1.4,42.2,26.7,16.7,5.8,11.1,27.1,44.2,0,0,0,Fr,Jun-00,-5.54787
4544,Jake Shannon,Oral Roberts,Sum,12,2.4,112.8,10.4,41.7,7.7,28.2,5,0,0,1.9,0,Sr,4-Jun,0.447479
4545,Peter Suder,Bellarmine,ASun,29,69.9,97.2,24,46.8,5.9,14,19.5,18.6,1.3,2.3,26.9,Fr,5-Jun,-0.706658
4546,Nik Graves,Charlotte,CUSA,22,12.6,92.8,15.9,48.5,0.8,7.9,18.2,22.2,0,3.5,27.3,Fr,3-Jun,1.80202
4547,Damien Madison,Alabama St.,SWAC,15,16.9,96.2,13.5,42.2,2,4.5,11.3,17.2,0,2,17.8,Sr,Jun-00,-1.33797
4548,Bryan Etumnu,Merrimack,NEC,17,5.8,70.2,9.6,50,3.3,6.6,5.2,41.7,2.9,1.6,266.7,Fr,7-Jun,0.39534
4549,Rob Martin,Indiana St.,MVC,11,3.5,83,15.5,38.9,2.6,7,22.9,29.8,0,0,0,Fr,10-May,-2.93972
4550,Cruz Davis,Iona,MAAC,24,32.2,97.5,19.1,46.7,2,6.3,8.9,17.6,1.9,2.1,27.9,Fr,3-Jun,0.167919
4551,Malik Reneau,Indiana,B10,35,37.2,101.8,23,55.9,9.4,18.7,9.6,23.2,1.9,1.8,30.4,Fr,9-Jun,1.30857
4552,CJ Gunn,Indiana,B10,20,10.7,78.8,19.6,32.7,2.4,6.4,8.9,9.8,1.4,3.9,9.1,Fr,6-Jun,1.39975
4553,Clarence Cummings III,Green Bay,Horz,32,76,90.5,22,47.9,2.7,12.7,13.7,20.3,0.4,1.4,33.3,So,5-Jun,-2.8196
4554,Zane Short,Green Bay,Horz,18,2.6,65.8,22.4,22.2,10.8,3.9,13.5,24.5,6.5,3.7,22.2,Jr,6-Jun,-0.514608
4555,Tyren Moore,Georgia Southern,SB,30,63.7,99.6,21.1,46.2,1.2,10.7,12.5,12.2,0.6,2.7,20.1,Jr,11-May,1.28755
4556,Cam Gregory,St. Francis PA,NEC,26,54.7,83.6,15.5,45.8,0.6,6.8,17.7,30.7,1.1,1.3,17.5,Fr,5-Jun,-2.84847
4557,Jamar Franklin,South Alabama,SB,30,26.9,95.6,19.6,46.6,2.1,7,6.1,10.3,1.1,0.7,10.2,Fr,2-Jun,-1.82654
4558,Austin Nunez,Arizona St.,P12,28,31.3,92.3,16.1,50.9,1.9,5.7,10,26,0.2,2.4,20.8,Fr,2-Jun,1.48032
