,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,threePM,threePA,threeP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,new school, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), dporpag, bpm, obpm, dbpm
224,Jordan Bruner,Yale,Ivy,27,76.7,103.2,21.6,50,53.15,6.6,25.2,22.1,21.2,47,62,0.758,78,151,0.517,31,98,0.316,5.9,1.9,24.9,Sr,9-Jun,23,2.21298,2020,47204,Alabama,1.464802619,54,83,24,68,0.65060241,0.352941176,18,19,0.947368421,4.1613,6.02969,2.4168,3.61289
225,Tomas Verbinskis,Richmond,A10,3,0.6,189.6,16.7,112.5,112.5,15.1,13.7,0,0,0,0,0,0,1,0,3,3,1,0,0,0,So,7-Jun,21,0.789624,2020,65909,Lafayette,0,0,0,0,1,0,0,0,0,0,0.241394,34.5902,32.942,1.64814
226,Sam Sessoms,Binghamton,AE,27,89.9,100.5,32.1,48,51.08,3.6,11.7,32.3,17.5,71,86,0.826,133,277,0.48,64,200,0.32,0.3,2.1,18,So,Jun-00,3,3.49599,2020,66606,Penn St.,1.393930517,98,186,35,91,0.52688172,0.384615385,0,0,0,1.3516,-0.783426,2.41342,-3.19685
227,J.J. Matthews,Arkansas St.,SB,30,55.7,105.3,21.2,54.1,57.92,9.5,15.6,12.3,20.1,71,105,0.676,93,170,0.547,0,2,0,3.6,1.2,61,Jr,9-Jun,4,1.62236,2020,67765,Norfolk St.,0.780032,63,101,30,69,0.623762376,0.434782609,5,5,1,1.6545,-1.42332,-0.587678,-0.835637
228,Tyler Jones,Maryland Eastern Shore,MEAC,29,46.1,82,23.8,44.7,46.89,2.9,11.3,7.4,19.5,22,30,0.733,62,133,0.466,18,66,0.273,4.8,1.2,15.1,Jr,7-Jun,15,-0.309504,2019,44610,North Carolina A&T,0.372071228,40,67,22,66,0.597014925,0.333333333,0,0,0,0.853123,-6.5827,-4.35581,-2.22689
229,Jacoby Ross,Alabama St.,SWAC,31,49.9,85.4,19.5,38.8,41.76,1.7,7.7,13,14,23,25,0.92,39,92,0.424,32,132,0.242,0,1.6,11.2,Jr,9-May,10,-0.167238,2020,50838,Alcorn St.,1.129,18,35,21,56,0.514285714,0.375,1,1,1,1.33742,-4.37378,-3.15451,-1.21927
230,Mark Carbone,New Hampshire,AE,23,38.9,112.6,18.2,57.1,63.04,1.9,10.6,19.6,22.2,39,44,0.886,14,34,0.412,31,72,0.431,0.3,1.4,41.5,Sr,2-Jun,5,1.39677,2020,48178,Cal Baptist,1.454545455,10,14,4,20,0.714285714,0.2,0,0,0,1.53507,0.537785,0.173815,0.36397
231,Keon Clergeot,Massachusetts,A10,30,52.4,89,15.7,43.2,48.17,1.8,8.6,13.1,23.1,36,50,0.72,26,58,0.448,21,75,0.28,0,2,37.6,Jr,1-Jun,4,0.0677474,2020,44685,Southeastern Louisiana,1.121899466,22,39,4,19,0.564102564,0.210526316,0,0,0,1.77655,-3.68627,-3.52707,-0.159195
232,Marquell Fraser,Idaho,BSky,25,39.8,94.5,24.5,45.7,50.86,6,16.9,20.8,20.3,54,82,0.659,60,123,0.488,2,15,0.133,0.9,1,59.4,Jr,3-Jun,15,0.8502,2020,45034,Detroit,1.139557383,47,88,13,35,0.534090909,0.371428571,0,0,0,1.30452,-1.66386,0.081196,-1.74506
233,Avery Wilson,Boston College,ACC,6,2.5,45.2,13.6,20,16.81,0,10.4,16.8,27.5,0,2,0,1,3,0.333,0,2,0,0,5.7,40,So,3-Jun,2,-0.823286,2019,50574,Southeastern Louisiana,1.500150015,1,3,0,0,0.333333333,0,0,0,0,0.584448,-7.14323,-9.91879,2.77556
