,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,threePM,threePA,threeP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,new school
297,Unique McLean,Massachusetts,A10,23,31,108,11.6,52.9,58.31,6.8,16.4,13,26.6,16,19,0.842,27,49,0.551,0,2,0,0.8,1.2,37.3,So,2-Jun,4,0.611367,2019,47427,St. Francis NY
298,Jordan Dallas,Weber St.,BSky,3,0.8,85.7,18.7,100,100,12,21,17.5,58.7,0,0,0,1,1,1,0,0,0,0,0,0,Jr,10-Jun,3,-0.101969,2019,40601,Seattle
299,A.J. Lawson,North Texas,CUSA,35,60.5,89.2,24,43.2,45.06,5.3,15.5,16.2,19.8,57,108,0.528,110,246,0.447,12,50,0.24,1.5,1.8,36.5,So,5-Jun,1,0.622164,2018,48780,McNeese St.
300,Schnider Herard,Mississippi St.,SEC,10,5.3,57,18.6,30.8,33.69,12.4,14.5,0,40.7,3,7,0.429,4,13,0.308,0,0,0,8.8,0,53.8,So,10-Jun,NA,-0.852317,2018,46086,Maryland
301,Quentin Grimes,Kansas,B12,36,67.9,93.6,18.2,48.2,49.58,2,7.6,12.7,21.6,35,58,0.603,52,117,0.444,54,159,0.34,0.7,1.3,21,Fr,5-Jun,5,1.07881,2019,65580,Houston
302,Anthony Oliver II,Clemson,ACC,19,9.7,105.5,16.2,44.3,49.72,4.5,16.9,6.5,10.7,9,11,0.818,2,9,0.222,9,26,0.346,0,2.6,31.4,Fr,5-Jun,21,0.392652,2018,50911,Old Dominion
303,Justin Thomas,Northern Illinois,MAC,31,69.1,104,13.1,49.3,51.82,1.9,10.4,12.8,17,35,56,0.625,48,99,0.485,17,50,0.34,0.4,2.9,37.6,So,11-May,5,0.508348,2018,49505,Morehead St.
304,De'Monte Buckingham,Richmond,A10,30,73.4,102.9,23.6,50.2,55.53,6.2,21.8,20.6,20.8,91,117,0.778,85,166,0.512,35,108,0.324,1.3,1.9,42.7,So,4-Jun,11,2.40195,2018,45310,Cal St. Bakersfield
305,Willy Nunez Jr.,FIU,CUSA,29,49.8,99.4,18.4,46.7,49.4,1.5,10.1,6.3,9.6,31,40,0.775,13,32,0.406,63,198,0.318,0.2,1.1,17.4,Sr,6-Jun,20,0.863627,2019,50656,Rider
306,Cameron Bacote,Maryland Eastern Shore,MEAC,30,64.5,85,15.9,42,43.24,1.2,6.1,13.9,19.3,11,15,0.733,32,73,0.438,35,128,0.273,0,0.9,7.5,Fr,3-Jun,2,-0.934922,2018,51897,Indiana St.
307,Lamar Hamrick,Detroit,Horz,27,35.7,102.5,18.1,51,53.42,5.8,14.5,13.4,20.7,27,43,0.628,40,73,0.548,9,32,0.281,1.3,4.1,41,Jr,4-Jun,21,0.741866,2019,67513,Portland St.
308,Bryson Williams,Fresno St.,MWC,30,72.2,109.1,22.8,57.9,58.43,7.6,18.4,8.5,15.7,51,86,0.593,171,294,0.582,1,4,0.25,2.7,1,28.9,So,8-Jun,11,2.60611,2018,48515,UTEP
309,Tamir Bynum,UTSA,CUSA,6,4.1,39.1,20.5,11.8,18.52,0,6.9,3.4,17.1,3,4,0.75,2,13,0.154,0,4,0,0,0,23.5,Fr,Jun-00,4,-1.23205,2019,65520,Prairie View A&M
310,Scott Spencer,Clemson,ACC,19,10.4,70.7,14.4,28.8,29.3,2.5,6.8,6,8.4,1,2,0.5,7,17,0.412,3,23,0.13,0.8,0.4,5,So,6-Jun,22,-0.567862,2018,45562,La Salle
311,Omer Yurtseven,North Carolina St.,ACC,33,59.3,120.2,23,60.6,60.96,12.8,19.4,3.9,11.6,49,80,0.613,165,283,0.583,22,44,0.5,7.6,1.1,24.5,So,Jul-00,14,3.47227,2018,48219,Georgetown
312,Matt Milon,William & Mary,CAA,29,69.8,106.7,19.9,59,60.35,1.3,11.3,8.3,15.4,38,53,0.717,41,72,0.569,86,216,0.398,0.3,1,18.4,Jr,5-Jun,2,1.68194,2019,48091,UCF
313,Keith Stone,Florida,SEC,17,22.4,92.9,20.7,47.7,50.16,7.6,16.9,6.3,22.1,20,33,0.606,19,50,0.38,15,37,0.405,3.4,2.7,37.9,Jr,8-Jun,25,0.777036,2019,41007,Miami FL
314,Admon Gilder,Texas A&M,SEC,30,68.5,113.9,17.8,54.3,58.38,2.2,11,14.2,16.7,69,84,0.821,80,158,0.506,47,119,0.395,0.5,2.2,30.3,Jr,4-Jun,3,3.15927,2018,43661,Gonzaga
315,Dexter McClanahan,Savannah St.,MEAC,30,73.7,102.5,22.3,48.4,52.29,3.4,10.9,11.5,13.5,92,126,0.73,91,167,0.545,62,213,0.291,0.5,1.9,33.2,Jr,5-Jun,22,1.57719,2018,39015,Nicholls St.
316,Angus McWilliam,TCU,B12,2,0.4,69.1,23.7,0,0,58.9,0,0,40.5,0,0,0,0,1,0,0,0,0,0,0,0,Fr,10-Jun,23,-0.166214,2019,66616,UC Riverside
317,James Lewis Jr.,Chattanooga,SC,25,52,95.2,17.7,50.8,55.56,9.5,15.3,5.4,26.1,56,85,0.659,60,118,0.508,0,0,0,1,0.6,72,Fr,5-Jun,10,0.316156,2018,52269,Appalachian St.
318,Alex Tostado,Maryland,B10,7,1.1,124.4,14.1,33.3,50.63,0,0,12.8,0,2,2,1,1,2,0.5,0,1,0,0,0,66.7,Fr,2-Jun,25,0.18823,2018,52318,Chattanooga
319,Matej Kavas,Seattle,WAC,22,39.7,121.7,18.1,61.1,62.77,2.8,20.3,6,11,28,38,0.737,35,72,0.486,41,86,0.477,0.2,0.7,24.1,Jr,8-Jun,5,2.23341,2019,39296,Nebraska
320,KJ Feagin,Santa Clara,WCC,29,87.4,104.7,28.7,50.5,53.77,1.4,6.9,31.6,14.4,71,83,0.855,131,276,0.475,58,156,0.372,0.2,1.5,19.2,Jr,1-Jun,10,3.35804,2018,41257,San Diego St.
321,Chris McNeal,New Mexico,MWC,33,60.8,96.3,21.6,45.8,50.17,0.8,8.6,18.7,19.4,61,80,0.762,44,92,0.478,50,168,0.298,0,1.7,30.8,Jr,1-Jun,1,1.09561,2018,41548,Cincinnati
322,Jalen Poyser,St. Bonaventure,A10,29,49.5,97.3,21.6,47.3,51.58,1.9,8,9.7,17.5,47,57,0.825,53,115,0.461,35,108,0.324,0.8,1.3,25.6,Jr,4-Jun,23,1.14164,2019,43587,McNeese St.
323,Jared Samuelson,Montana,BSky,32,28.4,112.4,21.9,57.5,59.73,9.5,15.3,6.3,15.2,33,49,0.673,64,111,0.577,1,3,0.333,3.4,1.6,43,Fr,7-Jun,33,0.969457,2017,42403,Montana
324,Arinze Chidom,Washington St.,P12,8,8.6,89.8,17.9,35.2,40.94,9.6,18.5,9.6,17.1,7,10,0.7,8,20,0.4,1,7,0.143,1,3,37,So,9-Jun,25,-0.228783,2019,44716,UC Riverside
325,Amidou Bamba,Coastal Carolina,SB,32,40.1,91.8,18.9,49.3,48.76,8.9,15.8,4.9,20.6,24,55,0.436,69,140,0.493,0,0,0,4,0.9,39.3,Jr,8-Jun,11,0.133592,2019,48298,Charlotte
326,Keith Fisher III,San Jose St.,MWC,29,64.2,95.1,23.3,49,51.91,8.9,19.9,7.7,19.2,64,101,0.634,118,241,0.49,0,0,0,1.1,1.9,41.9,Fr,8-Jun,5,1.10823,2018,45815,Illinois St.
327,Lamarr Kimble,Saint Joseph's,A10,23,61.7,100.3,24.9,46.4,51.85,2.4,9,17.4,14,87,112,0.777,76,155,0.49,40,138,0.29,0.3,1.7,38.2,Jr,Jun-00,0,2.76577,2019,42665,Louisville
328,Gabe Grant,Houston,Amer,24,9,108.4,21.3,43.2,47.75,7.4,15.7,5.6,6.5,14,22,0.636,4,15,0.267,10,29,0.345,2.8,1.9,50,Jr,4-Jun,20,0.41685,2018,50680,Buffalo
329,Jordan Phillips,Arkansas,SEC,7,2.8,51.4,26.9,15,22.83,3,11.8,0,10.8,4,4,1,3,14,0.214,0,6,0,0,1.5,20,Fr,7-Jun,25,-0.613171,2019,65955,UT Arlington
330,Colin Slater,Tulane,Amer,30,24.9,90.3,17.2,40.8,46.27,1.1,7.3,16.8,21.3,18,22,0.818,16,35,0.457,10,41,0.244,0.7,1.7,28.9,So,1-Jun,14,0.0268518,2018,44757,Long Beach St.
331,Artur Labinowicz,Coastal Carolina,SB,29,68.6,101.4,21.1,45.5,52.74,4,12.8,8,18.8,99,127,0.78,42,109,0.385,46,135,0.341,2.5,1.4,52,So,4-Jun,2,1.43868,2018,48297,Evansville
332,Andrew Robinson,Quinnipiac,MAAC,22,31.3,103.9,14.6,50.4,51.12,1.9,12.4,3.4,8.5,8,13,0.615,5,13,0.385,37,107,0.346,0,0.6,10.8,Jr,6-Jun,14,0.382077,2018,41520,Coppin St.
333,D'Angelo Hunter,West Virginia,B12,18,6.4,69.3,23,35.7,40.52,6.7,12.4,8.4,38.8,5,6,0.833,1,11,0.091,6,17,0.353,3.9,1.2,21.4,Jr,6-Jun,11,-0.253836,2018,51031,Nicholls St.
334,Aaron Robinson,Quinnipiac,MAAC,30,48,92.4,11.3,45.5,43.58,2,9.1,9.5,16.4,1,13,0.077,9,19,0.474,28,93,0.301,0.2,0.9,11.6,Sr,6-Jun,0,-0.578676,2019,41522,Coppin St.
335,Justin Miller,Louisiana Lafayette,SB,30,64,99.9,20.7,45.9,50.14,11.1,21.5,12,20.2,61,89,0.685,76,157,0.484,17,64,0.266,0.9,1.4,40.3,Jr,6-Jun,55,1.1864,2019,49265,Detroit
336,Carte'Are Gordon,Saint Louis,A10,13,22.1,94.4,20.9,55.4,54.82,5.3,13.4,11.1,24,24,48,0.5,43,78,0.551,2,5,0.4,8.2,2.6,57.8,Fr,9-Jun,5,0.822092,2019,65594,DePaul
337,Dazon Ingram,Alabama,SEC,32,52,102.1,19.7,50.7,56.83,4.3,14.4,21.7,26.1,76,107,0.71,51,106,0.481,16,42,0.381,0.6,1.4,72.3,Jr,5-Jun,12,1.61818,2019,40634,UCF
338,Stone Gettings,Cornell,Ivy,27,65.4,110.3,30.4,55.3,59.43,6.3,21.4,24.2,16.2,88,108,0.815,119,216,0.551,42,113,0.372,1.7,1.4,32.8,Jr,8-Jun,13,3.21441,2018,39283,Arizona
339,Eric Hamilton,UNC Greensboro,SC,34,41.3,120.4,17,58.1,62.42,9.9,21.4,1.6,13.8,63,88,0.716,72,124,0.581,0,0,0,2.7,0.7,71,Jr,9-Jun,35,1.57697,2019,39002,Pittsburgh
340,Jeantal Cylla,UNC Wilmington,CAA,32,70.3,105.8,22.9,46.8,52.59,5.4,13.2,4.1,12,102,121,0.843,118,253,0.466,33,105,0.314,2.1,1.1,33.8,Jr,7-Jun,2,1.97857,2019,40004,Arkansas
341,Ibi Watson,Michigan,B10,25,8.2,106.3,24.3,47.2,48.09,10.1,9.3,9.1,5.7,6,11,0.545,10,22,0.455,10,31,0.323,0.8,2.8,20.8,So,5-Jun,23,0.505146,2018,47099,Dayton
342,Isaiah Ross,UMKC,WAC,29,62.7,103.1,22.1,53.2,56.16,2.7,10.4,9.2,14.6,47,59,0.797,46,90,0.511,63,174,0.362,0,1.2,22.3,So,4-Jun,2,1.61776,2018,47550,Iona
343,Joseph Smoyer,Portland,WCC,20,11.6,100.2,12.3,45,51.58,4.6,11,4.3,14.1,9,13,0.692,9,20,0.45,0,0,0,5.8,1.3,65,So,11-Jun,41,0.049927,2018,48176,Columbia
